pairing,from,to,frequency
MM,male,male,471
MF,male,female,437
FM,female,male,428
-M,-,male,289
M-,male,-,288
F-,female,-,202
FF,female,female,195
-F,-,female,192
AM,avatar,male,182
MA,male,avatar,170
AF,avatar,female,103
FA,female,avatar,100
-N,-,neutral,60
N-,neutral,-,60
-A,-,avatar,38
NM,neutral,male,31
A-,avatar,-,28
MN,male,neutral,26
NA,neutral,avatar,21
AN,avatar,neutral,18
--,-,-,16
NN,neutral,neutral,14
AA,avatar,avatar,14
FN,female,neutral,12
NF,neutral,female,6
