game|chapter|speaker|text|tag
FE13Paralogues|P04-AnnaTheMerchant|Merchant|Oh, that poor girl...|
FE13Paralogues|P04-AnnaTheMerchant|Chrom|What's wrong?|
FE13Paralogues|P04-AnnaTheMerchant|Merchant|Oh! Sirs, please! Help her! A young merchant girl is being set upon by bandits!|
FE13Paralogues|P04-AnnaTheMerchant|Chrom|We're on our way.|
FE13Paralogues|P04-AnnaTheMerchant|Vincent|You! We have business, you and I, and I aim to settle the debt. Victor will be avenged today!|
FE13Paralogues|P04-AnnaTheMerchant|Anna|Oh, dear. Have we met?|
FE13Paralogues|P04-AnnaTheMerchant|Vincent|Playing dumb won't save you, girly. The gold you net from the slavers will build Victor the finest grave in the land!|
FE13Paralogues|P04-AnnaTheMerchant|Anna|Careful, love. Prices aren't the only thing I can cut in half.|
FE13Paralogues|P04-AnnaTheMerchant|Anna|Hello there, handsome! Am I being rescued?|
FE13Paralogues|P04-AnnaTheMerchant|Chrom|Well, that was the plan, but you seem to be holding up just fine. Can you still fight?|
FE13Paralogues|P04-AnnaTheMerchant|Anna|I could stand to open a few more rogues, sure. Or locks, for that matter.|
FE13Paralogues|P04-AnnaTheMerchant|Chrom|A thief, is it?|
FE13Paralogues|P04-AnnaTheMerchant|Anna|Locksmith, thank you very much! But yes. Door or chest, I'll have it smiling wide in a trice. And it looks like there bandits have quite the hoard built up.|
FE13Paralogues|P04-AnnaTheMerchant|Chrom|...Huh. Well then, I think we're in business.|
FE13Paralogues|P04-AnnaTheMerchant|Anna|Ugh. Well, that was careless... Sorry, friends. Looks like I've got to close up shop for the day.|
FE13Paralogues|P04-AnnaTheMerchant|Vincent|You stand no chance. I'm a conqueror by name and a conqueror by nature!|
FE13Paralogues|P04-AnnaTheMerchant|Vincent|I... I see your face, Victor... No... No, wait... That's me...|
FE13Paralogues|P04-AnnaTheMerchant|Anna|Thanks for your help. The name's Anna. Some folks like to call me the Secret Seller.|
FE13Paralogues|P04-AnnaTheMerchant|Chrom|Yes, I remember you.|
FE13Paralogues|P04-AnnaTheMerchant|Anna|Oh? ...Mmm, I'm afraid I'm drawing a blank.|
FE13Paralogues|P04-AnnaTheMerchant|Chrom|Huh? Oh, then I must be... I'm sorry. I thought you... Wait, what am I saying? I KNOW we helped you. I'm sure of it!|
FE13Paralogues|P04-AnnaTheMerchant|Anna|Oh! Hee hee! You must have met one of my sisters.|
FE13Paralogues|P04-AnnaTheMerchant|Chrom|Sisters? Gods, you look identical.|
FE13Paralogues|P04-AnnaTheMerchant|Anna|Yes, there's a strong family resemblance. Oh, and we're all traveling merchants.|
FE13Paralogues|P04-AnnaTheMerchant|Chrom|...With the same name?|
FE13Paralogues|P04-AnnaTheMerchant|Anna|Yes, actually. That's part of the secret!|
FE13Paralogues|P04-AnnaTheMerchant|Chrom|Your family gatherings must be chaotic.|
FE13Paralogues|P04-AnnaTheMerchant|Anna|True, but aren't everyone's? Still, I can't just send you on your way after helping TWO of us. So let me come along and aid you in return. I can be quite useful. You'll never make a loss with me in tow—I guarantee it!|
FE13Paralogues|P12-DisownedByTime|Robin|Is this the place?|
FE13Paralogues|P12-DisownedByTime|Chrom|Yeah, it's got to be. The townsfolk spoke of ruins in these parts that carry the legacy of the divine dragon. Of course, they neglected to mention that the place is crawling with Risen... I suppose we're just gonna have to earn this treasure the old-fashioned way.|
FE13Paralogues|P12-DisownedByTime|Morgan|Footsteps! ...Probably not friendly. And likely more down those stairs... Think, Morgan, think! How would Mom/Dad handle this?|
FE13Paralogues|P12-DisownedByTime|Robin|You...don't look like a treasure hunter. What brings you here?|
FE13Paralogues|P12-DisownedByTime|Morgan|There you are, Mother! I was beginning to think we got separated.|
FE13Paralogues|P12-DisownedByTime|Robin|...I'm sorry, what?|
FE13Paralogues|P12-DisownedByTime|Morgan|Well, no harm done. At least we can head home now. ...Goodness, the air here agrees with you! You look a decade younger, at least.|
FE13Paralogues|P12-DisownedByTime|Robin|Wait. Let's go back to the Mother thing. ...Did you travel back from the future with Lucina?|
FE13Paralogues|P12-DisownedByTime|Morgan|Huh? Who's Lucina? And did you seriously just ask me if I came from the future? ...Why are you looking at me like that? Hello? It's me! Morgan! ...Your son? Love of your life and strapping young lad and all that? Wow, you're really acting strange today. Let's go home and get you to bed. Hmm, but which way is home? Is it— Ngh! M-my head!|
FE13Paralogues|P12-DisownedByTime|Robin|Easy—don't try to force it! Just stay calm and listen to me. I know this sounds mad, but I believe that you came here from the future.|
FE13Paralogues|P12-DisownedByTime|Morgan|Are you out of your mind? That's not even possible!|
