pairing,from,to,frequency
MA,male,avatar,965
AM,avatar,male,945
FA,female,avatar,667
AF,avatar,female,662
MM,male,male,487
-M,-,male,445
M-,male,-,442
FM,female,male,368
MF,male,female,354
-F,-,female,318
F-,female,-,299
A-,avatar,-,287
FF,female,female,259
-A,-,avatar,249
-N,-,neutral,73
NA,neutral,avatar,68
N-,neutral,-,57
AN,avatar,neutral,49
MN,male,neutral,32
NM,neutral,male,30
FN,female,neutral,17
NF,neutral,female,15
NN,neutral,neutral,13
--,-,-,3
AA,avatar,avatar,1
