game|chapter|speaker|text|tag
FE16AzureMoon|16-TheRoseColoredRiver|Rodrigue|Even though it's in ruins, in some strange way, this monastery never truly changes, does it? I studied at the Officers Academy when I was young. Those memories come rushing back whenever I return. What are you doing at this hour, anyway?|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|I couldn't sleep.|
FE16AzureMoon|16-TheRoseColoredRiver|Rodrigue| It's the same for me.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|Nothing.|
FE16AzureMoon|16-TheRoseColoredRiver|Rodrigue|I see.|
FE16AzureMoon|16-TheRoseColoredRiver|Rodrigue|Perhaps you'll allow me to join you...|
FE16AzureMoon|16-TheRoseColoredRiver|Rodrigue|. I keep recalling my eldest son... He was quite gifted. In fact, he was appointed a knight at the age of 15. I still vividly remember the day he was granted a sword from His Majesty...|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|Your son... Isn't he...|
FE16AzureMoon|16-TheRoseColoredRiver|Rodrigue|Dead. He was killed nine years ago in Duscur. All that returned of him that day were his sword and his armor... After it happened, I said something horrible to Felix. He's hated me ever since...and I don't blame him. No matter how much you grieve, the dead will never return. No magic in the world can bring them back. That's why their memory clings to the living like a curse. The more they were loved, the tighter their hold, and the more suffering they cause... I fear I am not a strong enough man to scold His Highness for his foolishness.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|Someone must.|
FE16AzureMoon|16-TheRoseColoredRiver|Rodrigue|Right you are... As adults, it is our responsibility to scold him and help him find his way again, but really... I'm just a failure of a man.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|I know how you feel...|
FE16AzureMoon|16-TheRoseColoredRiver|Rodrigue|Since this war began, we've seen countless generals, soldiers, and citizens die. It never gets easier.|
FE16AzureMoon|16-TheRoseColoredRiver|Rodrigue|Professor... I entrust the young prince, and the future of Faerghus, to you.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|This is unexpected...|
FE16AzureMoon|16-TheRoseColoredRiver|Rodrigue|I suppose that was a dramatic way of putting it. My apologies.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|I won't let you down.|
FE16AzureMoon|16-TheRoseColoredRiver|Rodrigue|You're a brave one, aren't you? One worthy of leading the Church of Seiros, I daresay.|
FE16AzureMoon|16-TheRoseColoredRiver|Rodrigue|You should know that I have no intention of insisting that you take back Fhirdiad. All I ask is that you continue to rein in Dimitri's manic desire for revenge. Now then... we have received House Riegan's consent. All that's left is for us to depart. If we make it through Gloucester Territory and across the Great Bridge of Myrddin, we'll be in Empire territory. You are not afraid, are you?|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|A little.|
FE16AzureMoon|16-TheRoseColoredRiver|Rodrigue|Ha! No need to worry. Don't you underestimate the power of my soldiers.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|I don't feel anything.|
FE16AzureMoon|16-TheRoseColoredRiver|Rodrigue|Yes.Such is war...|
FE16AzureMoon|16-TheRoseColoredRiver|Rodrigue|I'm glad you were the one to lead the Blue Lion House, Professor. I mean that...|
FE16AzureMoon|16-TheRoseColoredRiver|Dimitri|If you stand in my way, I will strike you down.|
FE16AzureMoon|16-TheRoseColoredRiver|Felix|Leaving the house in my uncle's hands? What is the old man thinking? I always knew my father was mad, but this time he's gone too far.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|I agree.|
FE16AzureMoon|16-TheRoseColoredRiver|Felix|My uncle is a reliable man. But still.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|I'm actually grateful to him.|
FE16AzureMoon|16-TheRoseColoredRiver|Felix|Easy for you to say. You hardly know the man.|
FE16AzureMoon|16-TheRoseColoredRiver|Felix|Only a fool would abandon his own territory.|
FE16AzureMoon|16-TheRoseColoredRiver|Ashe|The area around Castle Gaspard, where I was living, is under the control of House Rowe, who have submitted to the Empire. If I hadn't come to Garreg Mach, I might have ended up as your enemy at Ailell. That thought makes me really happy to be here now. I don't think I would have been able to handle facing all of you in battle.|
FE16AzureMoon|16-TheRoseColoredRiver|Sylvain|I had an encounter with Lord Gwendal... How many years ago was it? Back before the academy, I met this girl who I fell madly in love with...and her dad tried to kill me. I suppose he just tried to scare me, but I was sure I was gonna die. Oh yeah, her dad? Lord Gwendal. Crazy, right? I never thought I'd seriously be trying to kill the guy in battle. I kind of don't know how to make sense of it.|
FE16AzureMoon|16-TheRoseColoredRiver|Mercedes|It looks like we're all set with food supplies, thanks to Lord Rodrigue! We have more soldiers to feed now, so we'll still need to ration... But I think we have enough extra to make some tasty treats! I'll go scout the pantry.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|That would be wonderful.|
FE16AzureMoon|16-TheRoseColoredRiver|Mercedes|We can enjoy it together over some tea!|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|We shouldn't be wasteful...|
FE16AzureMoon|16-TheRoseColoredRiver|Mercedes|That's true, but it's important to indulge every now and again. It's been so difficult lately and everyone is worn out. We won't be able to go on if we don't treat ourselves!|
FE16AzureMoon|16-TheRoseColoredRiver|Annette|Next we face the Great Bridge of Myrddin... We actually crossed it a long time ago. Do you remember? It was five whole years ago!|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|During the Battle of the Eagle and Lion?|
FE16AzureMoon|16-TheRoseColoredRiver|Annette|It seems like so long ago, doesn't it? It's odd how fast time flies...|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|When we went to Remire Village?|
FE16AzureMoon|16-TheRoseColoredRiver|Annette|What are you talking about, Professor? It was on the way to the Battle of the Eagle and Lion!|
FE16AzureMoon|16-TheRoseColoredRiver|Annette|Everyone was still friends then. After the fighting, we all ate together without splitting into our separate houses. I often wish we could go back to those peaceful days...|
FE16AzureMoon|16-TheRoseColoredRiver|Ingrid|Just like House Fraldarius, House Galatea is currently being invaded by the Dukedom. My family is not as wealthy as most others, so we are incapable of sparing resources or reinforcements. I'm sorry. It's just so frustrating, not being able to do anything to help.|
FE16AzureMoon|16-TheRoseColoredRiver|Ferdinand|What used to be Aegir territory lies far to the east of the Great Bridge of Myrddin, downstream of the Airmid River. For the sake of my family, I wish we could invade the Empire from there. But I do not have the power to advocate for that. Strategically, Myrddin is more important.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|Someday, we'll take it back.|
FE16AzureMoon|16-TheRoseColoredRiver|Ferdinand|Thank you, Professor. I will not give in. Not until I have restored my noble pride!|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|Taking it back would be difficult.|
FE16AzureMoon|16-TheRoseColoredRiver|Ferdinand|Yes, I know it would be difficult, but I will not give in!|
FE16AzureMoon|16-TheRoseColoredRiver|Linhardt|Since I'm originally from the Empire, it seems no one trusts me with any important tasks. Fine by me. Honestly, I'd bet they're watching my every move to make sure I can be trusted.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|I'm sure they're not...|
FE16AzureMoon|16-TheRoseColoredRiver|Linhardt|If I were in charge, it's what I would do.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|Probably.|
FE16AzureMoon|16-TheRoseColoredRiver|Linhardt|I knew it. War makes people crazy, huh?|
FE16AzureMoon|16-TheRoseColoredRiver|Caspar|The Airmid River separates the Empire and Alliance. It's the largest river in Fódlan. Sometimes it'll flood when there's lots of rain, but... At least the land gets some extra water!|
FE16AzureMoon|16-TheRoseColoredRiver|Bernadetta|War isn't kind to you if you're a recluse. By the time you realize what's going on, you're already under attack. And if you're off by yourself, you can get killed with no one ever finding out.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|Sounds like you're learning.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|I highly doubt that would happen.|
FE16AzureMoon|16-TheRoseColoredRiver|Bernadetta|Oh, that'd be awful--just terrible! OK, Professor, I get it. I know I'll have to come out.|
FE16AzureMoon|16-TheRoseColoredRiver|Dorothea|We're going to invade the Empire...which means we'll be fighting people we know, won't we? If we're attacked by someone we know, or used to think of as a friend, is it permitted to run away?|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|No, it's not OK.|
FE16AzureMoon|16-TheRoseColoredRiver|Dorothea|Makes sense. A commander running away would be terrible for morale.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|I wouldn't blame you.|
FE16AzureMoon|16-TheRoseColoredRiver|Dorothea|Really? If something happens, will you keep me safe?|
FE16AzureMoon|16-TheRoseColoredRiver|Petra|If we can suppress this Myrddin, we can invade into the Empire. Right? I was in the Empire. Now I will be an enemy... I am having strange feelings. It is with ease that an ally turns into an enemy.|
FE16AzureMoon|16-TheRoseColoredRiver|Raphael|I finally got to eat a full meal for the first time in forever, and it's all thanks to Lord Rodrigue! I've got so much energy! Let me at that Great Bridge of Myrddin! I'll bust it down myself! Oh, but then how do we cross?|
FE16AzureMoon|16-TheRoseColoredRiver|Ignatz|The Great Bridge of Myrddin isn't just a bridge. It has the features of a fortress. I believe it was built for military purposes by the first leader of the Adrestian Empire. In other words, it's even older than the monastery. So if we occupy the Great Bridge, we'll have to search it from top to bottom.|
FE16AzureMoon|16-TheRoseColoredRiver|Lysithea|I'm sure you know this already, but House Ordelia is aligned with the Empire. They face the Empire from across a river, similar to the Gloucesters. Even so, I refuse to yield to the Empire a second time. The Empire did unthinkable things to my family. And to me. The only option here is winning. Professor, you must promise we will overcome the Empire.|
FE16AzureMoon|16-TheRoseColoredRiver|Marianne|My adoptive father is planning on supporting the Riegan family in the upcoming operation. He says it's the perfect opportunity to get both the Alliance and the Kingdom on his side. He even insisted that I promote the good name of House Edmund to the people of the Kingdom.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|Have you managed to do that?|
FE16AzureMoon|16-TheRoseColoredRiver|Marianne|No... I'm not very good at this sort of thing.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|Do you really need to promote them?|
FE16AzureMoon|16-TheRoseColoredRiver|Marianne|He'll see right through me if I lie, so I can't ignore the request...|
FE16AzureMoon|16-TheRoseColoredRiver|Marianne|But I suppose I did just tell you, so that must count for something.|
FE16AzureMoon|16-TheRoseColoredRiver|Hilda|Claude says he's on our side. I know everything will be fine if we leave it to him! He may act like a layabout, but he's actually smart. And although Claude isn't honest about some things, you can trust him when it counts.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|You're not calming my nerves.|
FE16AzureMoon|16-TheRoseColoredRiver|Hilda|No, I'm sure it'll be fine! That's just my gut feeling, but still.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|Yeah, I'm not worried.|
FE16AzureMoon|16-TheRoseColoredRiver|Hilda|Yeah, he'll do us proud! That's just my gut feeling, but still.|
FE16AzureMoon|16-TheRoseColoredRiver|Leonie|Lord Rodrigue seems reliable. But even with his help, aren't we still a little shorthanded? We can probably make it to the Great Bridge of Myrddin. But beyond that, I don't know. Don't let Dimitri push you too much, Professor. It'll shorten your life for sure.|
FE16AzureMoon|16-TheRoseColoredRiver|Seteth|So, the renowed Shield of Faerghus is now on our side. That is quite reassuring. Not only will he provide valuable support in battle, but he has also brought us much-needed supplies. We cannot grow complacent, however. We must take the Imperial capital as soon as possible.|
FE16AzureMoon|16-TheRoseColoredRiver|Flayn|Being here brings back all manner of memories. The days I spent studying here with you and everyone else--those days were so special to me. They truly were some of the warmest days of my life. I hold them dear in my heart. And now, to be forced to fight with those I was once so close to, my friends... It is most saddening.|
FE16AzureMoon|16-TheRoseColoredRiver|Hanneman|The battle at Ailell was a tactical marvel. You grow stronger with each passing day. Where does your talent end and your Crest's power begin? Are they one and the same, I wonder? Most intriguing. Yet it is quite difficult to draw useful conclusions, given the situation. It is quite unfortunate I did not achieve my research goals before the war broke out. So much unknown. Now, I fear I will not have those answers even by conflict's end. So very frustrating.|
FE16AzureMoon|16-TheRoseColoredRiver|Manuela|Oh, hello there, Professor. Did you need something from me? It doesn't look like you're wounded or anything. You just looking for...someone to talk to?|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|Yes.|
FE16AzureMoon|16-TheRoseColoredRiver|Manuela|I thought so. Well, I'm here for you! Making you feel better is my top priority.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|No.|
FE16AzureMoon|16-TheRoseColoredRiver|Manuela|Come on now, you don't have to be shy. Helping you feel better is important to me.|
FE16AzureMoon|16-TheRoseColoredRiver|Manuela|Whether it's physical pain or worries of the heart, you can come to me for anything, Professor.|
FE16AzureMoon|16-TheRoseColoredRiver|Gilbert|House Fraldarius is a military house. They swore fealty to the royal family at the Kingdom's founding. The current family head, Lord Rodrigue, was raised like a brother to the former king. He harbors a loyalty that goes beyond mere duty. Perhaps that is why he was willing to lend us his aid.|
FE16AzureMoon|16-TheRoseColoredRiver|Alois|I thought House Fraldarius had an invasion of their own to worry about. I'm impressed Lord Rodrigue was willing to provide us all these reinforcements and supplies. The knights' morale is really boosted, seeing as they have had their first good meal in a while. Let's hope we can keep this up, and take down the Great Bridge of Myrddin!|
FE16AzureMoon|16-TheRoseColoredRiver|Catherine|Gwendal made the ultimate sacrifice in service of House Rowe. I understand that feeling. I'd do anything for Lady Rhea.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|But--|
FE16AzureMoon|16-TheRoseColoredRiver|Catherine|You think we should have stopped him. You might be right about that.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|I understand it too.|
FE16AzureMoon|16-TheRoseColoredRiver|Catherine|I'm surprised. I didn't peg you as the kind of person to say that sort of thing.|
FE16AzureMoon|16-TheRoseColoredRiver|Catherine|At any rate, it's up to the individual how to demonstrate loyalty.|
FE16AzureMoon|16-TheRoseColoredRiver|Shamir|So, House Riegan accepted. I knew the leader of the Alliance wouldn't refuse. Still, we can't let our guard down. There's no telling when he'll turn on us. If we advance through the Alliance into the Empire, our chances for reconnaissance will be limited. I just hope it goes according to plan.|
FE16AzureMoon|16-TheRoseColoredRiver|Cyril|Lady Rhea must be so scared. We gotta find her quick as we can. We got reinforcements from the Kingdom people now, right? Then we oughta be able to go save her!|
FE16AzureMoon|16-TheRoseColoredRiver|Rodrigue|Even after all these decades, the academy hasn't changed a bit. I remember it well, even now. I used to sneak out of lectures with Lambert almost every day... I suppose this is not the time for an old man's nostalgia. We have received approval from House Riegan. We should set out as soon as you're ready.|
FE16AzureMoon|16-TheRoseColoredRiver|Gatekeeper|Greetings, Professor! Nothing to report! Lord Rodrigue is revered by all as the Shield of Faerghus. I was imagining a more stern-faced fellow, but he's actually quite friendly. Shocking! I heard that he recently spent the night drinking in the dining hall with soldiers from the church...|
FE16AzureMoon|16-TheRoseColoredRiver|Gilbert|Our scout has returned. As expected, there are quite a few Imperial soldiers stationed there.|
FE16AzureMoon|16-TheRoseColoredRiver|Dimitri|I see. So the enemy has prepared for our arrival... It matters not. I will kill them all, whether they are one or one hundred.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|That's not necessary.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|Don't say such things...|
FE16AzureMoon|16-TheRoseColoredRiver|Dimitri|What would you do, if you saw the people who stole everything from you? If you saw them right before your eyes, living carefree lives and feeling no guilt. Would you feel nothing? Do nothing? Five years ago... Did you not deem the woman who killed Jeralt to be unforgivable? I am most certain that you did. You couldn't let her get away with her crime, so you took up your sword in pursuit.|
FE16AzureMoon|16-TheRoseColoredRiver|Byleth|You're wrong.|
FE16AzureMoon|16-TheRoseColoredRiver|Dimitri|I think not. We're the same, you and I.|
