game|chapter|speaker|text|tag
FE16CrimsonFlower|18-ToTheEndOfADream|Lord Arundel|So, we have finally arrived. It has been a very, very long road.|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|Why are you here, Uncle? We haven't prevailed just yet.|
FE16CrimsonFlower|18-ToTheEndOfADream|Lord Arundel|Even better. I decided I wanted to see the end with my own eyes. The very moment that humans will finally be free from the control of that false beast of a goddess..|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|Understood. Behold to your heart's content, just don't get in our way.|
FE16CrimsonFlower|18-ToTheEndOfADream|Lord Arundel|Of course. I could not stand to be dragged into the fighting. When this fight is over, a world completely controlled by the Empire will be upon us.|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|Not completely... I will only do what I must. But until our reign becomes stable... Uncle... No, all of you. I believe that your power and knowledge may be essential during that time of transition.|
FE16CrimsonFlower|18-ToTheEndOfADream|Lord Arundel|Perhaps so. We also will do what we must. For that short while, we will lend your our strength.|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|Yes... We're counting on you. For now.|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|Professor, may I speak with you?|
FE16CrimsonFlower|18-ToTheEndOfADream|Byleth|What's on your mind?|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|I know the timing is less than ideal, but there's something I need to tell you. I imagine you've already sensed it, but even still... I must tell you the truth...of the power you wield and of what you are.|
FE16CrimsonFlower|18-ToTheEndOfADream|Byleth|I have sensed it too.|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|I expected as much.|
FE16CrimsonFlower|18-ToTheEndOfADream|Byleth|What are you talking about?|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|Have you still yet to realize it? If so, then it's absolutely vital that I tell you.|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|You, like Rhea, share a bloodline with the so-called goddess. Your mother likely had some connection to the goddess, whose power has always been sleeping within you. Five years ago when your power awakened, I was afraid you would choose to join with Rhea.|
FE16CrimsonFlower|18-ToTheEndOfADream|Byleth|You thought I would join her?|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|I did.|
FE16CrimsonFlower|18-ToTheEndOfADream|Byleth|Five years ago...|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|Yes. In the Sealed Forest, when you returned from the eternal darkness...|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|As you know, my goal is to free our world from the control of Rhea and the other children of the goddess. I seek to obliterate her, as well as those around her who use the church's power to control Fódlan. I swore to free the people from Rhea by striking her down, whether or not it meant making an enemy of you. And yet...you came to my aid and chose to walk with me on the path against Rhea. I was overjoyed of course, but I was also confused. I thought that perhaps it wasn't the path you were meant to take. But I chose to trust in you, to rely on you and your strength. And now, here we are.|
FE16CrimsonFlower|18-ToTheEndOfADream|Byleth|I understand...|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|Thank you for listening, my teacher. I'm glad I finally had the chance to talk to you about it.|
FE16CrimsonFlower|18-ToTheEndOfADream|Byleth|Please explain it once more.|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|Of course...|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|After Rhea is gone from this world, I don't know what will become of you. But whatever happens, I hope you know that you're very special to me. I hope that I hold a special place in your heart as well. But regardless...|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|You are the one person in this world who can share the heavy burden I must carry. Someone without equal who I can always speak my mind to...|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|It's time. Let's go, Professor.|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|Rhea! Members of the Church of Seiros! Surely there's no reason to continue this fight. What could possibly be gained by shutting yourselves inside the capital of a kingdom without a king? I will give you this one chance...and no other. Throw down your weapons and surrender! Unlike you, I have no desire to unleash wicked atrocities upon this world!|
FE16CrimsonFlower|18-ToTheEndOfADream|Hubert|Their silence speaks volumes. Shall we commence our attack?|
FE16CrimsonFlower|18-ToTheEndOfADream|Edelgard|I'll wait just a moment longer. There are still many residents within the city. Unlike my attack at Garreg Mach five years ago, the church will not allow the inhabitants to evacuate. What the hell are they planning...|
FE16CrimsonFlower|18-ToTheEndOfADream|Catherine|Lady Rhea...Or rather, Lady Seiros. The Imperial army is calling for our surrender. Is it wise to ignore them? Perhaps we could leave Fódlan and devise another plan...|
FE16CrimsonFlower|18-ToTheEndOfADream|Seiros|We shall not surrender. We must not lose! Even if it must split the heavens, we shall not yield to the wicked ones!|
FE16CrimsonFlower|18-ToTheEndOfADream|Catherine|Understood... I will do as you command. You have my fealty no matter what, until my last moment of life.|
FE16CrimsonFlower|18-ToTheEndOfADream|Cyril|I'll stay by your side too...forever.|
FE16CrimsonFlower|18-ToTheEndOfADream|Seiros|Now, Catherine. Set fire to the city. The Imperial army will burn in the flames of eternal torment!|
FE16CrimsonFlower|18-ToTheEndOfADream|Catherine|What?! No, you can't do that!|
FE16CrimsonFlower|18-ToTheEndOfADream|Seiros|Catherine. Now.|
