game|chapter|speaker|text|tag
FE16SilverSnow|21-FollowingADream|Rhea|Ugh…|
FE16SilverSnow|21-FollowingADream|Cyril|Hang in there, Lady Rhea|
FE16SilverSnow|21-FollowingADream|Seteth|She needs help! Hurry!|
FE16SilverSnow|21-FollowingADream|Manuela|That's a serious injury… It's a miracle that she's even alive right now. I'll do what I can, but…|
FE16SilverSnow|21-FollowingADream|Seteth|Five years ago, when this place fell an enormous white creature appeared on the battlefield. It was the Immaculate One... Rhea.|
FE16SilverSnow|21-FollowingADream|Byleth|She tried to save me…|
FE16SilverSnow|21-FollowingADream|Seteth|What? You already knew Rhea's true identity?|
FE16SilverSnow|21-FollowingADream|Byleth|Thinking back, I suppose so.|
FE16SilverSnow|21-FollowingADream|Seteth|I see. In the past the children of the goddess were all able to change their appearance, just like the Immaculate One. I lost that power long ago, but it seems Rhea has not.|
FE16SilverSnow|21-FollowingADream|Byleth|You're one of the children of the goddess?|
FE16SilverSnow|21-FollowingADream|Seteth|Is it not obvious? Flayn and I both are. We have protected Garreg Mach, and all of Fódlan, for a very long time. But now... the light of Rhea's life is on the verge of disappearing from this world. It is flickering... I do not know if she can be saved. Even if she is, I wonder if she will remain unchanged...|
FE16SilverSnow|21-FollowingADream|Flayn|Professor. Are you able to carry on Rhea's work. As the protector of Fódlan and as leader of the people who live here... You must defend the people. Guide them and teach them. Join their hearts and spread peace across the whole of the land.|
FE16SilverSnow|21-FollowingADream|Seteth|It is not as though you must become the archbishop. But Fódlan needs leadership it is up to you to govern this war-torn land.|
FE16SilverSnow|21-FollowingADream|Byleth|I...|
FE16SilverSnow|21-FollowingADream|Seteth|You need not reply right this moment. We will strive to heal Rhea as best we can.|
FE16SilverSnow|21-FollowingADream|Flayn|Perhaps it would help to seek counsel from our friends at the monastery about this matter.|
FE16SilverSnow|21-FollowingADream|Seteth|I agree. When your mind is made up, please speak with me. I would ask that you give me your decision in the presence of Rhea herself.|
FE16SilverSnow|21-FollowingADream|Ferdinand|Well done, Professor. We have brought the war to a magnificent conclusion. The Empire, Alliance, and Kingdom are no more. Nor are there any factions that could blindside us and cause conflict. Now it falls to us to rule Fódlan, and bring about an era of peace and prosperity. You would be a fine choice for the first ruler of this new era. I sincerely believe that.|
FE16SilverSnow|21-FollowingADream|Byleth|Thank you.|
FE16SilverSnow|21-FollowingADream|Ferdinand|So, your heart is already set on it! Excellent! In that case, congratulations are in order.|
FE16SilverSnow|21-FollowingADream|Byleth|I'm not sure.|
FE16SilverSnow|21-FollowingADream|Ferdinand|Well, if you are unsure, what does that say about everybody else's chances?|
FE16SilverSnow|21-FollowingADream|Ferdinand|I will follow you, Professor. I aim to be a great and respectable noble.|
FE16SilverSnow|21-FollowingADream|Linhardt|Congratulations on a job well done, Professor. I do hope Lady Rhea is well? Is it true what I heard? You will be taking over her post? Would that make you archbishop? Or higher still? Am I in the company of the future ruler of Fódlan?|
