game|chapter|speaker|text|tag
FE16VerdantWind|19-TheChaosOfWar|Claude|It's almost time to invade the Imperial capital. We still don't know where Rhea is, but if she's alive, she's likely in Enbarr. Hopefully we manage to find her without too much trouble.|
FE16VerdantWind|19-TheChaosOfWar|Byleth|We need to save her quickly.|
FE16VerdantWind|19-TheChaosOfWar|Claude|I know, but if we're not careful she'll just be whisked away again.|
FE16VerdantWind|19-TheChaosOfWar|Byleth|I wonder if she's alive.|
FE16VerdantWind|19-TheChaosOfWar|Claude|If the Empire has some reason to keep Rhea alive, then she's alive.|
FE16VerdantWind|19-TheChaosOfWar|Claude|I'm sure you must be anxious to see her again.|
FE16VerdantWind|19-TheChaosOfWar|Byleth|I need to see her again.|
FE16VerdantWind|19-TheChaosOfWar|Claude|I understand. You need to see Rhea again so you can figure out who you really are.|
FE16VerdantWind|19-TheChaosOfWar|Byleth|All I care about right now is saving her.|
FE16VerdantWind|19-TheChaosOfWar|Claude|Well, if that's what you want, I'll do my best to make it happen.|
FE16VerdantWind|19-TheChaosOfWar|Claude|But we're going up against Edelgard here... It won't be so simple.|
FE16VerdantWind|19-TheChaosOfWar|Hilda|Our next stop is the Imperial capital. We've sure come a long way.|
FE16VerdantWind|19-TheChaosOfWar|Raphael|What're you talking about? This is Garreg Mach! It's where we started.|
FE16VerdantWind|19-TheChaosOfWar|Hilda|I didn't mean literally, Raphael. I was speaking symbolically!|
FE16VerdantWind|19-TheChaosOfWar|Lorenz|My earnest desire to protect the Alliance has carried me this far. It will not fail me. I am sure the rest of you all have your own reasons to fight as well. Of course, I understand that the fight will not end until we defeat the Empire... And now the time has arrived at long last to march on the Imperial capital and defeat the emperor...|
FE16VerdantWind|19-TheChaosOfWar|Hilda|It really gets you thinking, doesn't it? We all come from different places and have different goals and dreams. But thanks to those two, we were all able to come together and overcome all sorts of challenges.|
FE16VerdantWind|19-TheChaosOfWar|Lysithea|You are referring to Claude and the professor, I assume. Even within our own odd group, those two are particularly unusual.|
FE16VerdantWind|19-TheChaosOfWar|Hilda|Oh! So, you are aware that you're odd!|
FE16VerdantWind|19-TheChaosOfWar|Lysithea|Well... That's... It was simply a figure of speech. I am speaking about Claude and the professor right now!|
FE16VerdantWind|19-TheChaosOfWar|Marianne|They're like the wind and the trees...|
FE16VerdantWind|19-TheChaosOfWar|Hilda|Huh? Claude and the professor are? What does that even mean, and who is which?|
FE16VerdantWind|19-TheChaosOfWar|Marianne|Oh, um... I was just thinking that if we're the birds, then those two are like the trees and the wind. The professor is a great tree that kindly embraces us and watches over us as we perch on its branches... And Claude is like the wind, pushing us forward as we soar across the open sky...|
FE16VerdantWind|19-TheChaosOfWar|Hilda|Hm. The metaphor about the professor is solid, but I think Claude just blows us around on a whim. Still, we owe him a lot.|
FE16VerdantWind|19-TheChaosOfWar|Ignatz|I think that's beautiful, Marianne. I can really picture it. When the war is over, I'd love to paint a picture of those two. Oh! And of all the people we've fought with as well!|
FE16VerdantWind|19-TheChaosOfWar|Leonie|You mean like a historical painting? I like that! Maybe our descendants will look at it a long, long time from now...|
FE16VerdantWind|19-TheChaosOfWar|Lorenz|I must say, that piques my interest. I look forward to seeing how you portray my valiant efforts.|
FE16VerdantWind|19-TheChaosOfWar|Leonie|When you put it that way, we may be witnessing one of the greatest events in Fódlan's history. It's a lot of pressure, but the sense of duty I feel is even stronger than the fear.|
FE16VerdantWind|19-TheChaosOfWar|Raphael|I'm just happy to be here with all of you! I won't get scared, no matter what we face!|
FE16VerdantWind|19-TheChaosOfWar|Hilda|We have our goal. Enbarr, the Imperial Capital. Let's get to work!|
FE16VerdantWind|19-TheChaosOfWar|Claude|My friend! The reinforcements the lords sent are finally gathering. Truth be told, Fort Merceus would've made for a better base of operation. But that weird pillar of light changes things. It's pretty scary, honestly... I wonder what it is...|
FE16VerdantWind|19-TheChaosOfWar|Byleth|The rage of the goddess.|
FE16VerdantWind|19-TheChaosOfWar|Claude|Well, that is how the legend goes in Ailell. If it really was the rage of the goddess, let's do our best not to enrage her even further.|
FE16VerdantWind|19-TheChaosOfWar|Byleth|Some kind of magic.|
FE16VerdantWind|19-TheChaosOfWar|Claude|Makes sense. But whatever it was, I've never seen destructive power quite like it. I wonder where it came from...|
FE16VerdantWind|19-TheChaosOfWar|Byleth|A natural phenomenon.|
FE16VerdantWind|19-TheChaosOfWar|Claude|You think it's natural? What, the planet just up and decided to take a shot at the fort? I dunno, Teach.|
FE16VerdantWind|19-TheChaosOfWar|Claude|Well, I guess pondering it is a waste of energy for now. Let's just get ready to move out. The capital is Edelgard's domain, so she has the advantage. It's going to be a tough battle.|
FE16VerdantWind|19-TheChaosOfWar|Lorenz|I was taught from a young age to believe that the creed of Seiros was just the way of the world. To question it never even occurred to me. But Claude and Edelgard are different. They challenge the common wisdom. Even defy it. It is uncomfortable to discard familiar assumptions. But that is an essential quality of the visionary. Indeed, true greatness must lie beyond common sense. Hmm, that's good. I should write that down.|
FE16VerdantWind|19-TheChaosOfWar|Raphael|We're heading up to Enbarr next. I hope I make it back safe so I can tell my little sis about it! I hear they got a neat opera house there where Manuela used to perform. What was it called again?|
FE16VerdantWind|19-TheChaosOfWar|Byleth|Mitreflanc Opera Company.|
FE16VerdantWind|19-TheChaosOfWar|Raphael|Nah, that doesn't sound right!|
FE16VerdantWind|19-TheChaosOfWar|Byleth|Mittlefrank Opera Company.|
FE16VerdantWind|19-TheChaosOfWar|Raphael|Ah, that's the one!|
FE16VerdantWind|19-TheChaosOfWar|Byleth|Mildewplank Opera Company.|
FE16VerdantWind|19-TheChaosOfWar|Raphael|Nah, that doesn't sound right!|
FE16VerdantWind|19-TheChaosOfWar|Raphael|My little sis always goes on about how much she'd like to see 'em perform. I know we can't see a show, but do you think we could at least see the building?|
