game|chapter|speaker|text|tag
FE16WhiteClouds|01-ThreeHouses|Dimitri|This will be your first time at the monastery. I’d be happy to show you around.|
FE16WhiteClouds|01-ThreeHouses|Claude|It really is Fódlan in a nutshell. The good and the bad.|
FE16WhiteClouds|01-ThreeHouses|Edelgard|Like it or not, we’ll be there soon enough.|
FE16WhiteClouds|01-ThreeHouses|Edelgard|There it is. Garreg Mach Monastery.|
FE16WhiteClouds|01-ThreeHouses|Jeralt|Rhea's here.|
FE16WhiteClouds|01-ThreeHouses|Rhea|I wonder... Did the flow of time bring you here?|
FE16WhiteClouds|01-ThreeHouses|Jeralt|It's been years since I've last set eyes on this place. To be forced to see her now...|
FE16WhiteClouds|01-ThreeHouses|Byleth|Her?|
FE16WhiteClouds|01-ThreeHouses|Jeralt|You saw her in the courtyard earlier, didn't you? The archbishop...Lady Rhea.|
FE16WhiteClouds|01-ThreeHouses|Byleth|You've been here before?|
FE16WhiteClouds|01-ThreeHouses|Jeralt|I've never spoken of this to you before, but...many years ago, I was a knight here. I reported to the archbishop...Lady Rhea.|
FE16WhiteClouds|01-ThreeHouses|Byleth|The archbishop?|
FE16WhiteClouds|01-ThreeHouses|Byleth|Lady Rhea?|
FE16WhiteClouds|01-ThreeHouses|Jeralt|As you know, the majority of folks in Fódlan are devout followers of the teachings of Seiros. The leader of that ridiculously large religious organization is the archbishop, Lady Rhea.|
FE16WhiteClouds|01-ThreeHouses|Seteth|Thank you for your patience, Jeralt. My name is Seteth. I am an advisor to the archbishop.|
FE16WhiteClouds|01-ThreeHouses|Jeralt|Right. Hello.|
FE16WhiteClouds|01-ThreeHouses|Rhea|It has been a long time, Jeralt. I wonder…was it the will of the goddess that we have another chance meeting like this?|
FE16WhiteClouds|01-ThreeHouses|Jeralt|Forgive my silence all these years. Much has happened since we last spoke.|
FE16WhiteClouds|01-ThreeHouses|Rhea|So I see. The miracle of fatherhood has blessed you. That is your child, is it not?|
FE16WhiteClouds|01-ThreeHouses|Jeralt|Yes...born many years after I left this place. I wish I could introduce you to the mother of my child...but I’m afraid we lost her to illness.|
FE16WhiteClouds|01-ThreeHouses|Rhea|I see. My condolences. As for you…I heard of your valiant efforts from Alois. What is your name?|
FE16WhiteClouds|01-ThreeHouses|Byleth|My name is...|
FE16WhiteClouds|01-ThreeHouses|Rhea|A fine name indeed.|
FE16WhiteClouds|01-ThreeHouses|Byleth|...|
FE16WhiteClouds|01-ThreeHouses|Seteth|You must at least show the basic courtesy of telling us your name! Do you not think you are being a bit rude to the archbishop?|
FE16WhiteClouds|01-ThreeHouses|Rhea|It is all right, Seteth. My dear, I am called Rhea. I am the archbishop of the Church of Seiros. In truth, I was only being polite. I already know your name. And a fine name it is.|
FE16WhiteClouds|01-ThreeHouses|Rhea|From the bottom of my heart, I thank you for saving those students of the Officers Academy.|
FE16WhiteClouds|01-ThreeHouses|Jeralt|Hmph.|
FE16WhiteClouds|01-ThreeHouses|Rhea|Jeralt. You already know what it is I wish to say, do you not?|
FE16WhiteClouds|01-ThreeHouses|Jeralt|You want me to rejoin the Knights of Seiros, don’t you. I won’t say no, but…|
FE16WhiteClouds|01-ThreeHouses|Rhea|Your apprehension stings. I had expected that Alois would have already asked this of you. I must step away for now, but I expect they will desire a word with you soon. Please listen carefully to what they have to say. Until tomorrow… Farewell.|
FE16WhiteClouds|01-ThreeHouses|Jeralt|I can’t believe it. Forced back into the Knights of Seiros. I’m sorry I dragged you into this. Looks like I’ll be stuck here for a while…and I’m afraid your services are requested as well.|
FE16WhiteClouds|01-ThreeHouses|Byleth|As a mercenary?|
FE16WhiteClouds|01-ThreeHouses|Byleth|As a servant?|
FE16WhiteClouds|01-ThreeHouses|Jeralt|Nothing like that. They want you to teach, by the sound of it. You heard those brats earlier talking about the Officers Academy, right? Well, the academy just happens to be short a professor. And apparently that damned Alois went and recommended you to Lady Rhea.|
FE16WhiteClouds|01-ThreeHouses|Manuela|So. You must be the new professor. My, how stern and handsome you are!|
FE16WhiteClouds|01-ThreeHouses|Jeralt|Er, no. I’m not the one you’re looking for. You can handle things from here. Good luck.  And…watch out for Lady Rhea. I don’t know what she’s thinking, making you a professor like this. She may be up to something. Stay on your guard.|
FE16WhiteClouds|01-ThreeHouses|Manuela|Oh. It's you, then? So young...|
FE16WhiteClouds|01-ThreeHouses|Hanneman|Competence and age are not necessarily correlated, as you well know. I am Hanneman, a Crest scholar and professor at the Officers Academy. I wonder if you bear a Crest of your own. When next you have a moment to spare, I insist that you pay me a visit so we can delve into the subject further.|
FE16WhiteClouds|01-ThreeHouses|Manuela|I’m Manuela. I’m a professor, a physician, a songstress, and available. It’s nice to meet you.|
FE16WhiteClouds|01-ThreeHouses|Byleth|You're a physician?|
FE16WhiteClouds|01-ThreeHouses|Manuela|I look too pretty for that line of work, do I? But yes, when I’m not teaching, I can be found in the infirmary. If you’re ever lonely, please do come and pay me a visit. I would love to–|
FE16WhiteClouds|01-ThreeHouses|Byleth|"You're a songstress?"|
FE16WhiteClouds|01-ThreeHouses|Manuela|Of course. Before I came here, I belonged to a renowned opera company. Perhaps you've heard of me? The Mittelfrank Opera Company's beautiful, peerless–|
FE16WhiteClouds|01-ThreeHouses|Hanneman|Spare our colleague the needless chatter, Manuela. Now then, it seems you’ll be taking charge of one of the academy’s three houses. I expect you haven’t yet been briefed on the nature of each, have you?|
FE16WhiteClouds|01-ThreeHouses|Manuela|Do you really not know? Fine, I’ll do you a favor and explain. The Officers Academy is comprised of three houses of students, each of which is closely affiliated with its region of origin. The Black Eagle House is for students from the Adrestian Empire. Their house leader this year is Edelgard, the Imperial princess, who is in line to be the next emperor.|
FE16WhiteClouds|01-ThreeHouses|Hanneman|The Blue Lion House is for students from the Holy Kingdom of Faerghus. Their house leader this year is Prince Dimitri. He is to be the next king of Faerghus.|
FE16WhiteClouds|01-ThreeHouses|Manuela|Lastly, there is the Golden Deer House, which is for students of the Leicester Alliance. Their house leader is Claude, grandson to Duke Riegan, the leader of the Alliance.|
FE16WhiteClouds|01-ThreeHouses|Hanneman|To think that the next emperor, king and sovereign duke are all here. It certainly is a promising year for the academy.|
FE16WhiteClouds|01-ThreeHouses|Manuela|I’ll say. I just hope none of those little treasures cause any trouble.|
FE16WhiteClouds|01-ThreeHouses|Hanneman|Hm, quite. For now, I suggest taking a stroll around the academy to get your bearings. And when you’ve a moment, please stop by my research laboratory.|
