pairing,from,to,frequency
--,-,-,877
-M,-,male,737
M-,male,-,736
F-,female,-,590
-F,-,female,576
MA,male,avatar,474
AM,avatar,male,472
MM,male,male,466
AF,avatar,female,423
FA,female,avatar,409
MF,male,female,374
FM,female,male,369
FF,female,female,299
AA,avatar,avatar,183
-N,-,neutral,94
N-,neutral,-,82
-A,-,avatar,25
NM,neutral,male,23
NF,neutral,female,17
FN,female,neutral,15
NN,neutral,neutral,14
MN,male,neutral,13
A-,avatar,-,13
NA,neutral,avatar,2
AN,avatar,neutral,2
