id|game|chapter|speaker|text|tag
764|FE3BookTwo|22-TheDragon'sAltar1|Marth|What is this strange air? It feels like it's full of evil spirits.|
765|FE3BookTwo|22-TheDragon'sAltar1|Jagen|That is true... My body appears to be frozen. These are the evil spirits of the Earth Dragons. Your highness, it seems we can't have everybody enter ahead. Since we don't know what will happen, please choose carefully who to take with you.|
766|FE3BookTwo|22-TheDragon'sAltar1|Marth|I hope to at least take the people who are worried about the four sisters.|
767|FE3BookTwo|22-TheDragon'sAltar1|Jagen|Mmm... There's no avoiding that. But how many people will survive? I bet this will be a fierce battle.|
768|FE3BookTwo|22-TheDragon'sAltar1|Gotoh|Prince Marth. The altar is probably full of crazed barbarians and Mage Dragons that have lost their mind. They are being controlled by Gharnef's magic, and will definitely attack you. The dark priests that serve Gharnef also have fearful power. As this battle lengthens it will become fiercer, but don't stop and keep charging forwards! You must defeat Gharnef, and recover from him the divine Falchion sword that was stolen from Altea. Without the Falchion, you won't be able to defeat Medeus...|
769|FE3BookTwo|22-TheDragon'sAltar1|Jagen|Your highness, the wall in front of us has collapsed!|
770|FE3BookTwo|17-Gra'sSunSets|Samson|Princess Sheena, it seems the Altean army has arrived.|
771|FE3BookTwo|17-Gra'sSunSets|Sheena|Really...? It's already the end. Samson, I have brought you much trouble. I need to watch the final days of my Kingdom of Gra. You may leave now.|
772|FE3BookTwo|17-Gra'sSunSets|Samson|Princess, isn't it already enough? Shouldn't you despise King Jiol for forcefully taking your mother? Isn't that why you hid at Millennium Court and stayed away from this country? Right now you are just being tricked by Hardin, and being used by him.|
773|FE3BookTwo|17-Gra'sSunSets|Sheena|Perhaps. I heard that the people of Gra wished for the restoration of the country, and that's why I agreed to help him. However Hardin is only interested in using us. He would just throw us away like rubbish the moment we became useless to him. Still, I will not leave! How can I just abandon those fighting for my sake!?|
774|FE3BookTwo|17-Gra'sSunSets|Samson|Impossible... How can our fresh recruits resist Altea's elites...? Fine, if you're staying, I will also stay to the end. This could be interesting.|
775|FE3BookTwo|17-Gra'sSunSets|Sheena|Samson... Why are you doing this? Aren't you mercenaries only interested in being paid with gold? I no longer have money to give you...|
776|FE3BookTwo|17-Gra'sSunSets|Samson|I don't know why either. It's just... Sometimes men feel like there are things that they must do. Also, I want to see how that kid fights this battle. If he truly is a hero, perhaps your mind may be changed...|
777|FE3BookTwo|17-Gra'sSunSets|Old Man|Hardin sent troops here to prevent Gra from rebelling. The Archanea soldiers are the only ones that can still fight.|
778|FE3BookTwo|17-Gra'sSunSets|Woman|Princess Sheena is the child of King Jiol's second wife. But, she is different from the king. She is a very kind person. The princess is prepared to sacrifice her life for her soldiers. Is there no way to save her?|
779|FE3BookTwo|17-Gra'sSunSets|Woman|The soldiers here are all foreigners. There's nobody else to protect this country, because the knights of this country all died. Right now, the actions of the Archanea soldiers are deplorable. Their just the same as thieves... Those lowlifes!|
780|FE3BookTwo|17-Gra'sSunSets|Young Woman|Ah... Please leave me. I already have nothing to give you.|
781|FE3BookTwo|17-Gra'sSunSets|Marth|Ah, please don't get us wrong. We aren't here to steal.|
782|FE3BookTwo|17-Gra'sSunSets|Young Woman|But, didn't you all come here from Altea for revenge?|
783|FE3BookTwo|17-Gra'sSunSets|Marth|No, we don't want to fight Gra, because Gra and Altea were originally like one family.|
784|FE3BookTwo|17-Gra'sSunSets|Young Woman|Is that true...? Then, I will give my most important treasure... to... you|
785|FE3BookTwo|17-Gra'sSunSets|Sheena|You... You dare treat my citizens like that... Die!|
786|FE3BookTwo|17-Gra'sSunSets|Sheena|Forgive me, citizens of Gra.|
787|FE3BookTwo|17-Gra'sSunSets|Samson|Prince Marth... I thought you were a noble person, but you're just a murderer... You disappoint me.*|
788|FE3BookTwo|17-Gra'sSunSets|Samson|Sheena...|
789|FE3BookTwo|17-Gra'sSunSets|Marth|You are Princess Sheena? It's great to see you safe. I don't view Gra as an enemy. Gra and my country were originally one country. The country may have divided after Anri's death, but we always got on well as allies. But, in the previous war, I felt deeply regretful about things turning out the way they did. Princess Sheena, please allow us to be friends once again. I don't want to fight Gra.|
790|FE3BookTwo|17-Gra'sSunSets|Sheena|Prince Marth... Once I heard that you didn't attack my fleeing soldiers, I was really surprised. You truly are the second coming of King Anri. I trust you. Please... Treat the citizens of Gra... as if they were your citizens. I will hand my whole country to your care... Prince Marth.|
791|FE3BookTwo|17-Gra'sSunSets|Samson|That's great Sheena. Now I can finally leave without worry.|
792|FE3BookTwo|17-Gra'sSunSets|Sheena|Samson... Can you not leave...?|
793|FE3BookTwo|17-Gra'sSunSets|Samson|You don't need me anymore. From now on Prince Marth will protect you.|
794|FE3BookTwo|17-Gra'sSunSets|Sheena|Don't leave! I don't want you to leave...|
795|FE3BookTwo|17-Gra'sSunSets|Samson|Huh, what? Why keep me? It doesn't seem like you. ...Fine. If you say you need me, I won't go anywhere else. I will protect you wherever you may go. Is that fine with you?|
796|FE3BookTwo|17-Gra'sSunSets|Sheena|Yes...|
797|FE3BookTwo|17-Gra'sSunSets|Jagen|Lord Marth, if this battle continues it will become meaningless, and will only give more time for Hardin.|
798|FE3BookTwo|17-Gra'sSunSets|Marth|Mmm, I was thinking the same. If we keep heading east, more needless blood will be spilt. So I have decided a different route for us to go. How about we go directly south from Menedi, and enter Millennium Court from Adria Pass?|
799|FE3BookTwo|17-Gra'sSunSets|Jagen|You want the troops to cross that dangerous mountain path? It's too dangerous...|
800|FE3BookTwo|17-Gra'sSunSets|Marth|I am already prepared for danger. Besides, we were able to conquer the dangerous Anri's Way, so this should be easy in comparison...|
801|FE3BookTwo|17-Gra'sSunSets|Jagen|...That's a fair point. If we can cross it, we can attack the enemy from the rear. Understood, we'll try that.|
802|FE3BookTwo|22-TheDragon'sAltar2|Gharnef|Come, boy, you want to stop me again? This time I won't spare you!!|
803|FE3BookTwo|22-TheDragon'sAltar2|Marth|Gharnef, give my sister and the others back!! Where have you taken them!?|
804|FE3BookTwo|22-TheDragon'sAltar2|Gharnef|Hahahaha... Those clerics are going to become sacrifices for the resurrection of the Shadow Dragon. They are lost forever. Soon the Earth Dragon King, Medeus, will be reborn in his true form, and we require the clerics as live sacrifices. However their souls shattered because they couldn't stand the pain. Not even I can help them now. Thanks to them, the Shadow Dragon will awaken. He no longer fears even the power of the Binding Shield. It's a shame that everything's already over. Marth... You will die here!!!|
805|FE3BookTwo|22-TheDragon'sAltar2|Gharnef|Hahahaha... Let me show you the might of my Imhullu spell...|
806|FE3BookTwo|22-TheDragon'sAltar2|Gharnef|Haha... It's already too late... This world is done for... Urgh.|
807|FE3BookTwo|22-TheDragon'sAltar2|Jagen|Your highness, there's a stairway leading up!!|
808|FE3BookTwo|22-TheDragon'sAltar3|Marth|...! Isn't that my sister and the others!? Who are they protecting...? Damn... That's... Is that Medeus...?|
809|FE3BookTwo|22-TheDragon'sAltar3|Jagen|Wait, if the princesses are in the way, your highness' sword will be unable to strike. We must think of something fast, otherwise the Earth Dragons will awaken, and then they will be in even more pain.|
810|FE3BookTwo|22-TheDragon'sAltar3|Marth|What should I do...? How can I save them? Please tell me Jagen.|
811|FE3BookTwo|22-TheDragon'sAltar3|Jagen|That... Not even I know. To defeat Medeus there is probably no other way except to...|
812|FE3BookTwo|22-TheDragon'sAltar3|Marth|...! What, you want me to kill them!?|
813|FE3BookTwo|22-TheDragon'sAltar3|Jagen|That is one way. The princess cannot suffer any more. Taking their life is also a way of saving them.|
814|FE3BookTwo|22-TheDragon'sAltar3|Marth|Jagen, are you SERIOUSLY telling me to make this decision?|
815|FE3BookTwo|22-TheDragon'sAltar3|Jagen|As leader, there are times when you must make painful decisions. That is what I meant.|
816|FE3BookTwo|22-TheDragon'sAltar3|Marth|Jagen, that's enough, I understand. I will not give up. There must be some other way. Until the very end, I will not give up!!|
817|FE3BookTwo|22-TheDragon'sAltar3|Cleric|THOSE WHO OPPOSE... LORD MEDEUS... MUST DIE...|
818|FE3BookTwo|22-TheDragon'sAltar3|Minerva|Maria! Please open your eyes. It's me, Minerva! Be strong!|
819|FE3BookTwo|22-TheDragon'sAltar3|Maria|Uh... Oh... Minerva, sister... Ahh, Medeus, he...|
820|FE3BookTwo|22-TheDragon'sAltar3|Minerva|Everything's alright now, relax. I'm sorry, Maria, for letting you experience all this...|
821|FE3BookTwo|22-TheDragon'sAltar3|Maria|Sister... I'm scared... so scared. Oh! How is brother? He fought with Gharnef to rescue me.|
822|FE3BookTwo|22-TheDragon'sAltar3|Minerva|Michalis, he... He's alright, Maria, don't worry.|
823|FE3BookTwo|22-TheDragon'sAltar3|Maria|Really? Then, when we return home, will we be like one big family again? That's great, sister. Oh, I really want to see brother again.|
824|FE3BookTwo|22-TheDragon'sAltar3|Minerva|Maria...|
825|FE3BookTwo|22-TheDragon'sAltar3|Sirius|Princess Nyna! Open your eyes! Be strong...!|
826|FE3BookTwo|22-TheDragon'sAltar3|Nyna|Ah... I made a huge mistake. Because of my stupidity... I caused such grief for Hardin. And I made him... turn into that. Oh... I... What should I do?|
827|FE3BookTwo|22-TheDragon'sAltar3|Sirius|Empress... Prince Marth has already ended Hardin's suffering. Even until the end Hardin still loved you, and he apologized for his crimes. It's alright now. You don't need to suffer anymore. You just had a bad dream, that's all...|
828|FE3BookTwo|22-TheDragon'sAltar3|Nyna|..... You are.....?|
