game,chapter,speaker,text,tag
FE12BookTwo,13x-WithinTheWhiteDarkness,Marth,"The blizzard has gotten worse. I can barely see anything in front of me... Kris, I think I can see somebody ahead. Is that...",fear
FE12BookTwo,13x-WithinTheWhiteDarkness,Kris,"Ah! Sire, please stay behind me. I feel the presence of enemies. Several are currently targeting us.",fear
FE12BookTwo,13x-WithinTheWhiteDarkness,Marth,"What!? But, we can't see anything like this. How should we fight back?",surprise
FE12BookTwo,13x-WithinTheWhiteDarkness,Kris,"We've no choice but to directly engage the enemy. It will probably be a dangerous battle, unlike any we've faced previously.",fear
FE12BookTwo,13x-WithinTheWhiteDarkness,Marth,Indeed. We should select those who'll fight with prudence.,neutral
FE12BookTwo,13x-WithinTheWhiteDarkness,Marth,Athena! What brings you here!?,surprise
FE12BookTwo,13x-WithinTheWhiteDarkness,Athena,"Huff... huff... They are coming after you, Prince Marth. Ve vanted to varn you...",joy
FE12BookTwo,13x-WithinTheWhiteDarkness,Marth,"Ah! I see. So you wanted to help me... Thank you, Athena. It's fine now; I'll handle the rest. We'll defeat the enemy!",joy
FE12BookTwo,13x-WithinTheWhiteDarkness,Clarisse,"That wench... How dare she get in our way. If she hadn't spotted us, I could have shot the prince dead. Tsk! Oh well. As long as this blizzard carries on... This battle is mine. You can't see anything, can you? But we can. Now it's time for you to die, blind and blissfully ignorant.",anger
FE12BookTwo,13x-WithinTheWhiteDarkness,Clarisse,You want to escape from this darkness? I'm afraid I won't let you. You won't see the sunlight ever again.,fear
FE12BookTwo,13x-WithinTheWhiteDarkness,Clarisse,How... how dare you... I'll... I'll kill... anybody in my way... Just watch me... I'll kill... I'll kill you all!,anger
FE12BookTwo,13x-WithinTheWhiteDarkness,Kris,"Sire, we have routed the enemy.",neutral
FE12BookTwo,13x-WithinTheWhiteDarkness,Jagen,We have accomplished our objective. There is no need to remain here. Let us continue to the Ice Dragon Shrine.,neutral
FE12BookTwo,13x-WithinTheWhiteDarkness,Marth,"Indeed. The sooner we meet Lord Gotoh, the better. Let's go.",neutral
FE12BookTwo,13x-WithinTheWhiteDarkness,Clarisse,Unh... Ugh... Lady... Eremiya... I'm... alone... once again...,sadness
FE12BookTwo,13x-WithinTheWhiteDarkness,Katarina,Clarisse...,neutral
FE12BookTwo,13x-WithinTheWhiteDarkness,Clarisse,R-Reese...! Why... are you here...? Don't tell me... You came here to laugh at pathetic old me?,anger
FE12BookTwo,13x-WithinTheWhiteDarkness,Katarina,"Come on, hold on to me. Let's return to the hideout, together.",neutral
FE12BookTwo,13x-WithinTheWhiteDarkness,Clarisse,Wha...?,surprise
FE12BookTwo,13x-WithinTheWhiteDarkness,Katarina,You can't walk around wounded like this. And you'll freeze to death if you don't find shelter soon.,fear
FE12BookTwo,13x-WithinTheWhiteDarkness,Clarisse,Why...? Why would you... go so far to help me...! I've always treated... you like dirt and yet you...,anger
