game,chapter,speaker,text,tag
FE14,23C-Possessed,Corrin,Azura... How is Sakura holding up?,surprise
FE14,23C-Possessed,Azura,"Not well. She won't speak a word, and I'm told she refuses to eat.",neutral
FE14,23C-Possessed,Corrin,"I'm not surprised. Poor thing. For someone so young to witness the massacre of all those soldiers... We're lucky we were able to take Sakura, Yukimura, and the retainers as hostages. If Iago and Hans weren't frightened of Xander, they would be dead right now. I've heard that Sakura is being kept separate from the rest. Is that so?",surprise
FE14,23C-Possessed,Azura,"I'm afraid so. I believe her isolation has made all of this even harder on her. But Elise has been visiting her quite often, making sure she gets food and blankets.",fear
FE14,23C-Possessed,Corrin,"Elise has been doing all that? I'm a little surprised. Back in Izumo, she seemed rather hostile toward Sakura...",surprise
FE14,23C-Possessed,Azura,"Perhaps she's learned to focus on what they have in common. After all, they are both princesses, and the youngest of all their siblings. ...You should know that Garon's men don't agree with our choice to keep them alive. We should keep close watch on them, or I shudder to think what might happen.",fear
FE14,23C-Possessed,Corrin,You're right. I wish it weren't so... But those who still follow Father over Xander are not to be trusted.,neutral
FE14,23C-Possessed,Azura,Indeed. As it were... The Nohrian army is split in two as of now.,neutral
FE14,23C-Possessed,Corrin,What do you mean?,surprise
FE14,23C-Possessed,Azura,"There are those whose allegiance lies with you, Xander, Leo and the others. And those who still swear fealty only to King Garon, Iago, and Hans. Conquering Hoshido is our only option, but our methods have drawn attention. If things continue like this, we might have a rebellion of sorts to contend with. It's convenient that King Garon is already here in Hoshido... But if something happens and we lose his trust, we will all be in grave danger. Until he sits on that throne, we should all proceed with extreme caution.",fear
FE14,23C-Possessed,Corrin,"You're right. We must be patient. The whole world depends on it. Once Father sits on that throne, everyone will finally know the truth. Only then can we—",neutral
FE14,23C-Possessed,Iago,Lord/Lady Corrin. Lady Azura.,neutral
FE14,23C-Possessed,Corrin,Iago?!,surprise
FE14,23C-Possessed,Iago,Am I interrupting something?,surprise
FE14,23C-Possessed,Corrin,"No, not at all. Did you need something?",neutral
FE14,23C-Possessed,Iago,King Garon orders you and your troops to prepare for battle immediately. We will be arriving at the Great Wall of Suzanoh before long.,neutral
FE14,23C-Possessed,Corrin,The Great Wall of Suzanoh?,neutral
FE14,23C-Possessed,Iago,"Oh, my apologies, young prince/princess. I take it you've never heard of the place before? It's the last hurdle that stands between us and the Hoshidan castle. Once we pass through, we will enter the capital city. My forces shall be leading the charge. You, on the other hand, have been tasked with conquering the enemy's core legion. That means defeating their leader, Prince Takumi.",sadness
FE14,23C-Possessed,Corrin,Takumi...is leading Hoshido's core legion?,surprise
FE14,23C-Possessed,Iago,Yes. We received word of it from our scouts not too long ago.,neutral
FE14,23C-Possessed,Corrin,I see.,neutral
FE14,23C-Possessed,Iago,"We already have Princess Sakura as a hostage, so no need to keep him alive. I'm sure you would prefer to spare him, but I doubt our dear king would agree...",neutral
FE14,23C-Possessed,Corrin,"*sigh* You are correct, Iago. I will deal with Takumi for the glory of Nohr. However, first things first. For now I must focus on the battle ahead. I will tell my troops to prepare for battle.",neutral
FE14,23C-Possessed,Iago,Understood.,neutral
FE14,23C-Possessed,Iago,"Heh heh... Now, to joyously watch Corrin suffer! Poor prince/princess... What will you do?!",joy
FE14,23C-Possessed,Takumi,"At long last. I'm glad you could make it. Prince/Princess Corrin of Nohr. But know that so long as there is a single breath in my body, I will not let you pass. I mean that. You shall not enter our capital under any circumstances. Are you ready, dear Brother/Sister? Today is the day you die! Even if I must give my life to achieve it, I will not fail. I WILL kill you, Corrin! Prepare to die like the coward you are!",anger
FE14,23C-Possessed,Hinata,I have been practicing day and night so I could be the one to stop you! I won't back down to the likes of you no-good scoundrels! Stand back and watch as I protect Lord Takumi and all of Hoshido!,anger
FE14,23C-Possessed,Hinata,Lord Takumi... Stay...strong... I hope he knows...getting this blade from him...was my proudest moment...,sadness
FE14,23C-Possessed,Oboro,"You filthy Nohrians! As long as I live, I won't let you lay a finger on my dear Lord Takumi!!",anger
FE14,23C-Possessed,Oboro,Aww...but I wanted to protect you...my sweet Takumi... I should have told you...how I felt... Lord Takumi... I have always...loved... ...,sadness
FE14,23C-Possessed,Takumi,All allies of Nohr deserve nothing but the cold embrace of death!,anger
FE14,23C-Possessed,Takumi,NO!! This can't be...how it ends...,anger
FE14,23C-Possessed,Takumi,"I have waited far too long for this moment, Brother/Sister. I have dreamt of nothing but ending you, and now the time has come! I shall cherish the sound of life leaving your body for all eternity. Do you remember what I told you in Cheve? Do you?!",anger
FE14,23C-Possessed,Corrin,You said you would not rest until you killed me—made me pay for my sins.,anger
FE14,23C-Possessed,Takumi,"That's right. There's no turning back now... Not for me. This is all I have left. For better or for worse, this will be our last meeting. It ends here. I made up my mind to kill you a long time ago, my forgotten brother/sister. I WILL have revenge for Mother and all the Hoshidan lives you've ruined!!",anger
FE14,23C-Possessed,Corrin,Takumi... Brother...,neutral
FE14,23C-Possessed,Corrin,"Your battle is over, Takumi. The Nohrian army has seized control of the Great Wall of Suzanoh. All remaining soldiers will be taken prisoner. That includes you.",anger
FE14,23C-Possessed,Takumi,Dammit! Coward! I hope you rot in a pit of eternal torment for this!!,anger
FE14,23C-Possessed,Leo,"My, what a rude fellow. You should be grateful we are allowing you to live. You may be our prisoner, but we will not treat you cruelly. If you behave, we may even let you see your sister, Princess Sakura.",anger
FE14,23C-Possessed,Takumi,WHAT?! You've captured Sakura too? You monsters!!,surprise
FE14,23C-Possessed,Corrin,"I know how you must be feeling, Takumi, but please calm yourself. We must bind and imprison you before Father arrives. Please, just put out your hands and—",neutral
FE14,23C-Possessed,Takumi,Don't touch me! Don't you dare lay your filthy Nohrian hands on me!!,anger
FE14,23C-Possessed,Corrin,Takumi?,surprise
FE14,23C-Possessed,Takumi,"I mean it! Don't come near me!! If it wasn't for you, none of these awful things would have happened to Hoshido! No one would have had to die! We could have been a family! Why did you go back to Nohr?! Why? TELL ME WHY!! Why didn't you choose us?! Your real family! Why?!",fear
FE14,23C-Possessed,Corrin,Takumi! I...,neutral
FE14,23C-Possessed,Takumi,"*sob* Don't you speak my name, traitor! *sob*",sadness
FE14,23C-Possessed,Corrin,...,neutral
FE14,23C-Possessed,Takumi,It doesn't matter. Nothing matters—not anymore.,neutral
FE14,23C-Possessed,Corrin,Takumi... Why would you say that?,surprise
FE14,23C-Possessed,Takumi,The time is now... I can still save Hoshido even without the blade of salvation... You can't keep me prisoner... See? Do you see?! You shouldn't have left me a way...a way to escape...,sadness
FE14,23C-Possessed,Corrin,Takumi?! TAKUMI! NOOOO!!,fear
FE14,23C-Possessed,Azura,"Takumi! Please, no...",sadness
FE14,23C-Possessed,Corrin,Th-this can't be happening... I won't let it! TAKUMI!!,anger
FE14,23C-Possessed,Azura,Corrin! What are you doing?!,surprise
FE14,23C-Possessed,Corrin,I'm going after him! He might still be alive!,joy
FE14,23C-Possessed,Azura,"No, it's too dangerous! That area isn't under Nohr's control yet! Corrin!!",fear
FE14,23C-Possessed,Corrin,Takumi! Where are you?! He's not here... But how? He must have fallen somewhere nearby...,surprise
FE14,23C-Possessed,Azura,"Wait, Corrin! You can't go that way! Hoshidan soldiers might still be afoot!",anger
FE14,23C-Possessed,Corrin,Azura! What do I do? I can't find Takumi anywhere.,surprise
FE14,23C-Possessed,Azura,What?!,surprise
FE14,23C-Possessed,Corrin,We saw him fall... He fell down this very wall. But he's not down here!,fear
FE14,23C-Possessed,Azura,"How could that be? That's simply not possible. After falling that far, it would be a miracle for him to be alive, much less still mobile.",joy
FE14,23C-Possessed,Corrin,Then where is he?,surprise
FE14,23C-Possessed,Azura,I...I don't know. Perhaps somebody removed his body. There must be an explanation.,neutral
FE14,23C-Possessed,Corrin,...,neutral
FE14,23C-Possessed,Azura,"I'm sorry, but we don't have time to figure this out right now. We need to get back to our troops. If we don't have the wall under our control when King Garon's forces arrive... There's no telling how many innocent lives will be lost.",sadness
FE14,23C-Possessed,Corrin,Dammit... You're right. OK. Let's go.,anger
FE14,23C-Possessed,Azura,"We must hurry, Corrin. There's no time to lose.",fear
FE14,23C-Possessed,Corrin,Takumi... Where are you...?,surprise
FE14,03-JourneyBegins,Elise,"All right, Corrin. Let’s go in there together. I’ll help as much as possible. This is our father we’re talking about. He has to forgive you, right?",neutral
FE14,03-JourneyBegins,Corrin,"Thanks, Elise. I hope you’re right.",joy
FE14,03-JourneyBegins,Elise,"All right. Deep breath, and… here we go. Father! We have something we need to talk you about!",neutral
FE14,03-JourneyBegins,Garon,Gah hah ha!,joy
FE14,03-JourneyBegins,Corrin,Father?,neutral
FE14,03-JourneyBegins,Elise,It sound like he’s with someone… Maybe we should come back later.,neutral
FE14,03-JourneyBegins,Garon,Hrmph! Who’s there?,surprise
FE14,03-JourneyBegins,Elise,"Oh! Sorry to bother you, Father…",sadness
FE14,03-JourneyBegins,Corrin,"Yes, we apologize if this isn’t a good time.",sadness
FE14,03-JourneyBegins,Garon,What do you two want?,surprise
FE14,03-JourneyBegins,Elise,"Father, we’re here to apologize. Right, Corrin?",sadness
FE14,03-JourneyBegins,Corrin,"Yes, that’s right. I’m sorry for questioning you.",sadness
FE14,03-JourneyBegins,Garon,You may enter.,neutral
FE14,03-JourneyBegins,Garon,Corrin… You disobeyed a direct order from me. Ordinarily you would not still be alive.,neutral
FE14,03-JourneyBegins,Corrin,I understand…,neutral
FE14,03-JourneyBegins,Elise,"No! Father, I can explain-",neutral
FE14,03-JourneyBegins,Garon,"Silence! As you are my child, Corrin, I will grant you some leeway. I have something in mind for you. A mission. If you complete this task successfully, I will pardon your crime in full.",neutral
FE14,03-JourneyBegins,Corrin,Really?! What sort of mission?,surprise
FE14,03-JourneyBegins,Garon,There is an abandoned fortress perched on the Hoshidan border. I wish to know if the building there remains serviceable. You are to travel to the site and inspect the premises. No battle will be required. Do you understand? I won’t tolerate being disappointed twice…,neutral
FE14,03-JourneyBegins,Corrin,"Yes, Father. It shall be done.",neutral
FE14,03-JourneyBegins,Camilla,"Darling, are you sure you’re going to be OK out there? I don’t like this…",fear
FE14,03-JourneyBegins,Corrin,Of course! Please don’t worry. It’s just an abandoned fort.,fear
FE14,03-JourneyBegins,Leo,"You’re acting rather casual about all this, Corrin. It isn’t like Father to be so forgiving…",neutral
FE14,03-JourneyBegins,Corrin,"Huh? What do you mean, Leo?",surprise
FE14,03-JourneyBegins,Elise,"That’s enough, Leo! Don’t be so worried all the time, sheesh. And don’t even try to scare Corrin before his/her first mission!",fear
FE14,03-JourneyBegins,Leo,Hey! That’s not necessary.,anger
FE14,03-JourneyBegins,Camilla,I suppose I’ll just have to come along. That way I know Corrin will be safe.,neutral
FE14,03-JourneyBegins,Iago,I’m afraid that’s not possible.,fear
FE14,03-JourneyBegins,Camilla,"Why ever not, Iago?",surprise
FE14,03-JourneyBegins,Iago,"Lady Camilla, King Garon intends his expedition as a test of sorts. As his top advisor, I have been entrusted with coordinating this mission. He would like to know whether Prince/Princess Corrin is worthy… After all, he/she IS a part of the royal lineage. Therefore, your assistance would simply muddy the results.",neutral
FE14,03-JourneyBegins,Corrin,"Understood. Camilla, I need to do this all by myself. Surely you understand.",neutral
FE14,03-JourneyBegins,Garon,"Not all by yourself, Corrin.",neutral
FE14,03-JourneyBegins,Corrin,Father! I didn’t see you there.,neutral
FE14,03-JourneyBegins,Garon,"Rest assured, I don’t intend to send you out there completely defenseless.",neutral
FE14,03-JourneyBegins,Hans,…Milord/Milady.,neutral
FE14,03-JourneyBegins,Garon,This is Hans. He is a veteran warrior and will ensure no trouble befalls you.,neutral
FE14,03-JourneyBegins,Corrin,"Thank you, Father.",joy
FE14,03-JourneyBegins,Xander,Hmm…,neutral
FE14,03-JourneyBegins,Xander,"I’d be wary of that man if I were you, Corrin…",fear
FE14,03-JourneyBegins,Corrin,Why do you say that?,surprise
FE14,03-JourneyBegins,Xander,"He’s a criminal. A murderer and scoundrel. I arrested him myself, years ago. Father seems to think he’s rehabilitated, but I’m not so sure. That said, he is a formidable soldier.",neutral
FE14,03-JourneyBegins,Corrin,I see.,neutral
FE14,03-JourneyBegins,Corrin,Wow… Is this it? The Bottomless Canyon?,surprise
FE14,03-JourneyBegins,Gunter,Yes. It’s the natural boundary dividing Nohr and Hoshido.,neutral
FE14,03-JourneyBegins,Corrin,"It can’t be really bottomless, can it?",surprise
FE14,03-JourneyBegins,Gunter,"Let the eternal darkness below be your answer. Those who fall in never return… I truly despise this place. Something about the land around here just isn’t right. The sky here is always dark and foreboding, and lightning strikes all who fly across. This clearly a place us mortals were never meant to enter. Normally we’d go around… But the fort that King Garon wants surveyed is right over there.",anger
FE14,03-JourneyBegins,Corrin,"Oh, it’s not so bad. Or perhaps I’m just happy to be outside in the fresh air! Compared to the inside of that fortress, this is downright exiting.",joy
FE14,03-JourneyBegins,Gunter,"Ha! That certainly puts things in perspective, milord/milady. Come, let’s proceed.",neutral
FE14,03-JourneyBegins,Gunter,Blast! It looks like this fort isn’t as abandoned as we thought. Why the devil is this place crawling with Hoshidans?,anger
FE14,03-JourneyBegins,Hoshidan,"Hold on! Do not advance any farther, soliders of Nohr.",anger
FE14,03-JourneyBegins,Omozu,"Crossing that bridge is a violation of our border treaty. Turn back at once, or we’ll be forced to attack!",fear
FE14,03-JourneyBegins,Felicia,What should we do?,neutral
FE14,03-JourneyBegins,Corrin,We’re not here to fight. I suppose we’ll have to turn back and report to Father.,neutral
FE14,03-JourneyBegins,Gunter,"Wise decision, Lord/Lady Corrin.",neutral
FE14,03-JourneyBegins,Hans,"Who asked you, old man?",surprise
FE14,03-JourneyBegins,Gunter,What?!,surprise
FE14,03-JourneyBegins,Hans,Gyaaah!,neutral
FE14,03-JourneyBegins,Hoshidan,AAAUGH!,fear
FE14,03-JourneyBegins,Hans,"Ah ha ha! Die, scumbags!",anger
FE14,03-JourneyBegins,Omozu,You’ll pay for this!,anger
FE14,03-JourneyBegins,Corrin,"Hans, what are you doing?! We had no reason to engage these troops!",anger
FE14,03-JourneyBegins,Hans,Pfft.,neutral
