game,chapter,speaker,text,tag
FE2,03-WarOfDeliverance,Girl,Thank You. Now I can return to my service at Mila's Temple. ...! Hold on... Could it be?!,surprise
FE2,03-WarOfDeliverance,Celica,Hmm? What's the matter?,surprise
FE2,03-WarOfDeliverance,Girl,My apologies. You just bear a striking resemblance to Lady Liprica.,sadness
FE2,03-WarOfDeliverance,Celica,Liprica!? That was my mother's name!,surprise
FE2,03-WarOfDeliverance,Girl,Then... then you truly are Princess Anthiese! This is wonderful!,surprise
FE2,03-WarOfDeliverance,Celica,You knew my mother? Please... Tell me about her...,sadness
FE2,03-WarOfDeliverance,Girl,"Yes... Lady Liprica was originally a priestess at Mila's Temple. The king, charmed by her beauty, forcibly made her his queen. It was hard for her to bear, and she soon caught a grave disease. Soon after she gave birth to you, she perished... She worried so about you... Oh, Lady Anthiese, don't cry... I have something I must give you.",sadness
FE2,03-WarOfDeliverance,Girl,This diadem proves you are the princess of Zofia. Please use your power to save the Kingdom.,neutral
FE2,03-WarOfDeliverance,Girl,"I am returning to Mila's Temple. Take care, Your Highness.",neutral
FE2,03-WarOfDeliverance,Alm,"Everyone, stay alert! A brigade from Rigel is closing in. Fortify our defenses! Scatter our foes and pick them off one by one!",anger
FE2,03-WarOfDeliverance,Desaix,The rebel forces are attacking? Shit! In that case... Archers! Kill that girl in her cell as a warning!,anger
FE2,03-WarOfDeliverance,Tatarrah,"Hoho... You fools hope to beat me, Lord Tatarrah? Delthea! Kill those idiots with your Aura!",anger
FE2,03-WarOfDeliverance,Delthea,Ah! My head... What am I doing here? Urgh... Luthieeer--,surprise
FE2,03-WarOfDeliverance,Grieth,"Hehe... Foolish brats. Have a death wish? I, Lord Grieth, will show you my power. Get 'em, boys! Kill them all!",anger
FE2,03-WarOfDeliverance,Celica,"Look! The Temple of Mila! Stay alert-- Mikhail, one of Duma's cantors, is ahead. Everyone, protect out frailer allies!",anger
FE2,03-WarOfDeliverance,Npc,A liberation soldier is imporisoned in Desaix's fort. Rumors say she'll be executed soon. You guys better hurry if you want to save her!,fear
FE2,03-WarOfDeliverance,Npc,"Valentia is split by a deep gorge. The floodgate exists to store water in the gorge, but... if it isn't opened periodically, the water overflows",neutral
FE2,03-WarOfDeliverance,Npc,"The Rigelian army has occupied the gate and is keeping it closed. Please, Lord Alm. You must somehow open the gate before Zofia floods!",fear
FE2,03-WarOfDeliverance,Unnamed Man,"Some Gargoyles flew off to the shrine in the west with my child. If you save her, I'll give you my treasure.",neutral
FE2,03-WarOfDeliverance,Unnamed Girl,Wahh! I was so scared!,fear
FE2,03-WarOfDeliverance,Unnamed Man,Thank you.,joy
FE2,03-WarOfDeliverance,Unnamed Girl,Eheh. Thanks for saving me.,joy
FE2,03-WarOfDeliverance,Unnamed Man,"What? You want me to open the floodgate!? If I do that, the water will pour out too fast, causing a flood. Sorry, but until the floodgate at Mila's Temple is opened, I can't do it.",fear
FE2,03-WarOfDeliverance,Unnamed Man,Oh! Mila's floodgate has been opened! I'll open this gate right away!,joy
FE2,03-WarOfDeliverance,Unnamed Man,North of this floodgate is the Kingdom of Rigel. Be careful.,fear
FE2,03-WarOfDeliverance,Palla,Catria! Those guys are bandits. Stay close!,fear
FE2,03-WarOfDeliverance,Npc,The bandit king Grieth rules the eastern desert. He attacked and took all of our children as slaves. What should we do...?,fear
FE2,03-WarOfDeliverance,Npc,"Some say the dead can be revived in the nearby shrine. Dragons have settled there, though. Anything that draws near gets devoured.",fear
FE2,03-WarOfDeliverance,Npc,"The Earth Goddess Mila was sealed by King Rudolf of Rigel. That's why the land is barren. As things stand, we'll all starve...",fear
FE2,03-WarOfDeliverance,Npc,"Great Cantor Dolth rules the land north of here. Tresspass, and he'll summon necrodragons to devour you.",neutral
FE2,03-WarOfDeliverance,Npc,"Travelling north is impossible with the gorge full of water. If you don't open the western floodgate, the water won't drain. There's a reserve gate in this temple's basement, but...",neutral
FE2,03-WarOfDeliverance,Npc,"The evil god Duma gave Rudolf the sword that sealed Lady Mila. If you go to the Tower of Duma, you could rescue her. Just beware of the life-draining swamps on the way...",neutral
FE2,03-WarOfDeliverance,Npc,"One of our priestesses is a prisoner in Grieth's fort. Please, save everyone captured by that evil thief!",fear
FE2,03-WarOfDeliverance,Girl,"Thanks to you, our healer returned safely. If you go north, look for a hamlet in the Lost Treescape. The Great Sage Halcyon who lives there ought to help you somehow.",neutral
FE2,03-WarOfDeliverance,Unnamed Man,I'm the guard of this floodgate. What? You want me to open it? No can do. Only the Zofian royal family can order this gate opened. I ain't listening to you!,anger
FE2,03-WarOfDeliverance,Unnamed Man,Hmm? Wait a sec... That crown...! That's the royal family's crest! Then you must be the long-lost Princess Anthiese!F-forgive my rudeness. I'll open the floodgate straightaway.,surprise
FE2,03-WarOfDeliverance,Unnamed Man,"Your Highness, the western floodgate must also be open to drain the water.",neutral
FE2,03-WarOfDeliverance,Luthier,"I beg of you, please save my little sister! She's being manipulated by the cantor Tatarrah at Rigel's sluice. If Tatarrah is defeated, the spell on Delthea should break...",fear
FE2,03-WarOfDeliverance,Mathilda,Thank you. I just knew you'd come rescue me.,joy
FE2,03-WarOfDeliverance,Delthea,"I don't know what happened, Brother. Eh? I was under Tattarah's control? So that's what it was... I'm sorry if I've been a bother.",sadness
FE2,03-WarOfDeliverance,Palla,"Oh! I was looking for you. Our sister, Est, is still missing and I was thinking... Your journey will be tough, like ours. May we travel together? We can help each other out.",neutral
FE2,03-WarOfDeliverance,Catria,"Ahh, I hope we find Est soon... This is a secret, but if the three of us surrounded a foe, there's a really cool move we can use.",neutral
FE2,03-WarOfDeliverance,Atlas,"Y'guys gonna go finish off that bastard, Grieth? If so, let me help out. My siblings got captured by him, but I don't know where they're at...",anger
FE2,03-WarOfDeliverance,Jesse,"Aw, thanks. You saved me. Name's Jesse. Just some merc. I got caught helping out a girl jailed in Grieth's fort. Cute kid from a foreign land.",joy
FE2,03-WarOfDeliverance,Celica,"That has to be Est... Hey, Jesse. Is there a way we can save her?",neutral
FE2,03-WarOfDeliverance,Jesse,Nope. There's no way the few of us can do anything.,neutral
FE2,03-WarOfDeliverance,Celica,But there must be a way...,neutral
FE2,03-WarOfDeliverance,Jesse,"Well, I guess... Grieth has these two underlings: Sonya and Deen. They guard the north and south desert regions, respectively. Both of them seem to hate Grieth. However, neither will betray him while the other's alive. If you defeat one, the other may become your ally. Oh, and of course I'll lend you a hand, too.",neutral
FE2,03-WarOfDeliverance,Est,"Eh? Big sisters! Ahh, great! I'm coming with you guys too!",joy
FE2,03-WarOfDeliverance,Sonya,"What, you've dealt with Grieth? Well, that vile man had it coming. Mmm... I owe you guys one, eh? I gotcha. I'll lend you a hand.",joy
FE2,03-WarOfDeliverance,Deen,"What, you've dealt with Greith? Well, that vile man had it coming. Mmm... I owe you guys one, eh? Very well. I'll lend you a hand.",joy
FE2,03-WarOfDeliverance,Delthea,For defying Lord Tatarrah... Die!,anger
FE2,03-WarOfDeliverance,Delthea,"Ahh, it hurts... B-brother...",fear
FE2,03-WarOfDeliverance,Deen,"No hard feelings, but we're enemies. Taste my blade!",anger
FE2,03-WarOfDeliverance,Sonya,"Heheh, little girl and company-- you're going to die!",anger
FE2,03-WarOfDeliverance,Desaix,Is this all you've got...? I won't be beaten so easily!,anger
FE2,03-WarOfDeliverance,Desaix,Grr... Mycen! Is he planning to give Zofia to Rudolf's brat?! Damn traitor!,anger
FE2,03-WarOfDeliverance,Tatarrah,May Duma's blessings--,neutral
FE2,03-WarOfDeliverance,Grieth,"Grr, is this already the end of my kingodm? Then I'll drag you all down with me to hell!",anger
FE2,03-WarOfDeliverance,Grieth,I hope you're proud! How could I-- ugh...,anger
FE2,05-TogetherToTheEnd,Unnamed Sage,"If you go down these stairs you should get to Duma's Altar. It's said that there's no return once you've entered. Your Highness, please take care!",fear
FE2,05-TogetherToTheEnd,Alm,Celica!,neutral
FE2,05-TogetherToTheEnd,Celica,"Ah! Alm, help us... At this rate, everyone will... H-hurry... Please...",fear
FE2,05-TogetherToTheEnd,Alm,Celica?!,surprise
FE2,05-TogetherToTheEnd,Celica,Alm...,neutral
FE2,05-TogetherToTheEnd,Alm,Don't worry. I'll crush these bastards.,anger
FE2,05-TogetherToTheEnd,Celica,"It won't work. Jedah somehow seals all attacks. Plus, Mogalls keep spawning and entangling us. We're done for... Sorry, Alm. I was weak after all. I've had an odd premonition that pain awaits you... That's why I left on a quest to save Mila... That's why I didn't want you to fight yet. I'm sorry I acted so cold... The truth is, I've always...",sadness
FE2,05-TogetherToTheEnd,Alm,"I understand. But Celica! Focus on escaping! I'll definitely save you, so hang on!",neutral
FE2,05-TogetherToTheEnd,Jedah,You fools... You will regret this...,anger
FE2,05-TogetherToTheEnd,Marla,May Duma's blessings--,neutral
FE2,05-TogetherToTheEnd,Hestia,May Duma's blessings--,neutral
FE2,05-TogetherToTheEnd,Duma,That's enough... Hero Alm. Inherit our will and rule this land fairly... Carry both Duma's power and Mila's love... You must never repeat these events... Never again disturb our slumber...,sadness
FE2,01-Zofia'sCall,Mycen,"Alm, rest. Your sword training is over. Go and play, but don't leave the village. Bandits have been about.",neutral
FE2,01-Zofia'sCall,Gray,Yo Alm! Listen to this guy!,neutral
