word,occurrence
10,1.249570644290543e-07
100,2.735907041824248e-06
10000,3.0607019908757137e-07
14,6.832933124911733e-07
2,0.0012124551343731
2nd,2.70376024855068e-05
3,1.1620243043353185e-07
40,6.413236667413002e-07
5000,0.0
7,6.425235437745869e-07
8,1.5735507553210626e-10
800,2.539145149967226e-05
803,2.846012462214276e-06
9,0.0002812840463593
94,2.9344608265091665e-05
9980,3.847214530061649e-08
a,2.1112144878543405e-07
aa,4.3394566828780507e-11
aaaaaa,3.3044411162919117e-09
aaaaaaarrrrggggghhh,0.0
aaaah,3.767674559185252e-07
aaah,3.0065028249737224e-06
aah,8.084473199687636e-07
abandon,3.0708852182215195e-06
abandoned,9.28231418129144e-07
abandoning,1.3095811584662442e-06
abhors,1.8834179854820834e-07
abide,0.0
abilities,1.1620243043353185e-07
ability,3.467352883035347e-07
able,9.65734999454071e-07
abominable,7.279161991391447e-07
abominations,2.918804193541291e-07
abound,2.025421451889997e-07
about,3.630303191393125e-09
above,2.0853805690421723e-05
abroad,2.3825055959605374e-05
abruptly,5.123062800294065e-07
absence,3.630303191393125e-09
absolutely,1.0677545787984854e-06
absurd,8.239743920057663e-07
abuse,5.012975245222151e-07
abyss,2.7443512522040693e-07
accept,3.860758672480369e-10
acceptable,4.269383252903936e-06
access,0.0
accompanied,5.012975245222151e-07
accompany,1.8373839375271927e-05
accomplish,4.269383252903936e-06
accomplished,4.0054796562882793e-11
accord,9.182687408610946e-06
accordance,3.2706060455467424e-08
according,3.841300426756789e-06
account,5.541905056816176e-06
accurate,0.0
accursed,2.8417029227512105e-07
accusations,2.2312024811981245e-05
accused,3.841300426756789e-06
achieve,5.635239284629278e-07
ack,0.0
acknowledge,6.542249673202605e-07
acquiesce,6.197607388003235e-07
acquire,2.051808971259561e-07
acquired,2.226608268074415e-07
acquiring,8.636164857307449e-06
across,5.123062800294065e-07
act,8.952667701578321e-07
acting,8.071425236266805e-06
action,0.0
actions,4.3703389451366093e-07
acts,4.931780587469348e-08
actually,5.123062800294065e-07
adamant,6.533677662901028e-07
added,1.5032539726900214e-10
addition,0.0
addressing,0.0
adequate,1.6000574009922275e-06
adjutant,0.0
admire,0.0
admired,2.2815639079409867e-10
admit,6.965052148188988e-07
adorable,4.3394566828780507e-11
adore,7.359047579647003e-10
advance,8.084473199687636e-07
advantage,7.790592865264401e-11
adventures,3.841300426756789e-06
adversary,1.6126768014146364e-06
advice,2.256798842381613e-07
afar,0.0
affair,6.413236667413002e-07
affect,5.788160041220181e-07
affection,0.0
afford,5.111198974191211e-05
afield,8.77459119692503e-07
afoot,0.0
afraid,5.041885282253134e-07
after,1.0166244419451686e-05
afterlife,9.99323235078009e-07
afterward,8.246951747423736e-06
again,2.226608268074415e-07
against,3.8956015018243306e-08
age,6.303050156808432e-10
agents,4.532182821037622e-08
ages,2.437923085381044e-06
aggression,3.236666824002476e-09
ago,1.1620243043353185e-07
agonizing,5.5647900990152265e-06
agree,2.025421451889997e-07
agreed,2.3425790925124533e-10
agreement,9.257230508541435e-10
ah,5.123062800294065e-07
aha,0.0
ahead,0.0
ahh,5.916513930515066e-07
ahhh,2.389419759651901e-07
aias,2.4271066834113954e-09
aid,0.0
aide,1.3095811584662442e-06
aim,2.145558067923048e-07
aimlessly,5.916513930515066e-07
aint,0.0
air,3.3347393887939166e-10
airs,0.0
alas,5.041885282253134e-07
alike,1.6964446240308462e-06
alive,1.1538566741364776e-05
all,6.335381240205606e-06
allegiance,3.328932552904007e-06
allegiances,5.279788774714689e-07
alliance,0.0
alliances,2.5433621499360014e-06
allied,4.710732960120367e-06
allies,8.498017289859659e-11
alliteration,3.8053513264912906e-07
allow,5.736145274048975e-10
allowed,6.117984162301582e-07
