game,chapter,speaker,text,tag
FE13Paralogues,P04-AnnaTheMerchant,Merchant,"Oh, that poor girl...",positive
FE13Paralogues,P04-AnnaTheMerchant,Chrom,What's wrong?,negative
FE13Paralogues,P04-AnnaTheMerchant,Merchant,"Oh! Sirs, please! Help her! A young merchant girl is being set upon by bandits!",negative
FE13Paralogues,P04-AnnaTheMerchant,Chrom,We're on our way.,neutral
FE13Paralogues,P04-AnnaTheMerchant,Vincent,"You! We have business, you and I, and I aim to settle the debt. Victor will be avenged today!",positive
FE13Paralogues,P04-AnnaTheMerchant,Anna,"Oh, dear. Have we met?",neutral
FE13Paralogues,P04-AnnaTheMerchant,Vincent,"Playing dumb won't save you, girly. The gold you net from the slavers will build Victor the finest grave in the land!",negative
FE13Paralogues,P04-AnnaTheMerchant,Anna,"Careful, love. Prices aren't the only thing I can cut in half.",neutral
FE13Paralogues,P04-AnnaTheMerchant,Anna,"Hello there, handsome! Am I being rescued?",neutral
FE13Paralogues,P04-AnnaTheMerchant,Chrom,"Well, that was the plan, but you seem to be holding up just fine. Can you still fight?",neutral
FE13Paralogues,P04-AnnaTheMerchant,Anna,"I could stand to open a few more rogues, sure. Or locks, for that matter.",neutral
FE13Paralogues,P04-AnnaTheMerchant,Chrom,"A thief, is it?",neutral
FE13Paralogues,P04-AnnaTheMerchant,Anna,"Locksmith, thank you very much! But yes. Door or chest, I'll have it smiling wide in a trice. And it looks like there bandits have quite the hoard built up.",positive
FE13Paralogues,P04-AnnaTheMerchant,Chrom,"...Huh. Well then, I think we're in business.",neutral
FE13Paralogues,P04-AnnaTheMerchant,Anna,"Ugh. Well, that was careless... Sorry, friends. Looks like I've got to close up shop for the day.",negative
FE13Paralogues,P04-AnnaTheMerchant,Vincent,You stand no chance. I'm a conqueror by name and a conqueror by nature!,negative
FE13Paralogues,P04-AnnaTheMerchant,Vincent,"I... I see your face, Victor... No... No, wait... That's me...",neutral
FE13Paralogues,P04-AnnaTheMerchant,Anna,Thanks for your help. The name's Anna. Some folks like to call me the Secret Seller.,positive
FE13Paralogues,P04-AnnaTheMerchant,Chrom,"Yes, I remember you.",neutral
FE13Paralogues,P04-AnnaTheMerchant,Anna,"Oh? ...Mmm, I'm afraid I'm drawing a blank.",negative
FE13Paralogues,P04-AnnaTheMerchant,Chrom,"Huh? Oh, then I must be... I'm sorry. I thought you... Wait, what am I saying? I KNOW we helped you. I'm sure of it!",positive
FE13Paralogues,P04-AnnaTheMerchant,Anna,Oh! Hee hee! You must have met one of my sisters.,positive
FE13Paralogues,P04-AnnaTheMerchant,Chrom,"Sisters? Gods, you look identical.",neutral
FE13Paralogues,P04-AnnaTheMerchant,Anna,"Yes, there's a strong family resemblance. Oh, and we're all traveling merchants.",neutral
FE13Paralogues,P04-AnnaTheMerchant,Chrom,...With the same name?,neutral
FE13Paralogues,P04-AnnaTheMerchant,Anna,"Yes, actually. That's part of the secret!",neutral
FE13Paralogues,P04-AnnaTheMerchant,Chrom,Your family gatherings must be chaotic.,neutral
FE13Paralogues,P04-AnnaTheMerchant,Anna,"True, but aren't everyone's? Still, I can't just send you on your way after helping TWO of us. So let me come along and aid you in return. I can be quite useful. You'll never make a loss with me in tow—I guarantee it!",positive
FE13Paralogues,P12-DisownedByTime,Robin,Is this the place?,neutral
FE13Paralogues,P12-DisownedByTime,Chrom,"Yeah, it's got to be. The townsfolk spoke of ruins in these parts that carry the legacy of the divine dragon. Of course, they neglected to mention that the place is crawling with Risen... I suppose we're just gonna have to earn this treasure the old-fashioned way.",negative
FE13Paralogues,P12-DisownedByTime,Morgan,"Footsteps! ...Probably not friendly. And likely more down those stairs... Think, Morgan, think! How would Mom/Dad handle this?",negative
FE13Paralogues,P12-DisownedByTime,Robin,You...don't look like a treasure hunter. What brings you here?,neutral
FE13Paralogues,P12-DisownedByTime,Morgan,"There you are, Mother! I was beginning to think we got separated.",negative
FE13Paralogues,P12-DisownedByTime,Robin,"...I'm sorry, what?",negative
FE13Paralogues,P12-DisownedByTime,Morgan,"Well, no harm done. At least we can head home now. ...Goodness, the air here agrees with you! You look a decade younger, at least.",positive
FE13Paralogues,P12-DisownedByTime,Robin,Wait. Let's go back to the Mother thing. ...Did you travel back from the future with Lucina?,negative
FE13Paralogues,P12-DisownedByTime,Morgan,"Huh? Who's Lucina? And did you seriously just ask me if I came from the future? ...Why are you looking at me like that? Hello? It's me! Morgan! ...Your son? Love of your life and strapping young lad and all that? Wow, you're really acting strange today. Let's go home and get you to bed. Hmm, but which way is home? Is it— Ngh! M-my head!",positive
FE13Paralogues,P12-DisownedByTime,Robin,"Easy—don't try to force it! Just stay calm and listen to me. I know this sounds mad, but I believe that you came here from the future.",negative
FE13Paralogues,P12-DisownedByTime,Morgan,Are you out of your mind? That's not even possible!,negative
FE13Paralogues,P12-DisownedByTime,Robin,"Actually, it is. Think about it. You said I looked younger, but look again. Closely. Do I look like I'm of an age where I could have a child as old as you? At this point in time, in OUR time, you still haven't been born.",neutral
FE13Paralogues,P12-DisownedByTime,Morgan,"Y-you do look younger, but...",neutral
FE13Paralogues,P12-DisownedByTime,Robin,"It's hard, I know. And you don't have to believe me right this minute. But you must come with me. It's dangerous alone, especially if your memory is gone. I was in the same position once, you know. If Chrom hadn't found me lying in that field, who knows what would've happened to me...",negative
FE13Paralogues,P12-DisownedByTime,Morgan,"Wait, you woke up in the middle of a field, too? Hah! Like mother, like son, huh? Oh, that's too funny!",positive
FE13Paralogues,P12-DisownedByTime,Robin,"...Glad to see you inherited my blithe outlook. Just try to stay close, will you?",positive
FE13Paralogues,P12-DisownedByTime,Morgan,"Yes, ma'am!",positive
FE13Paralogues,P12-DisownedByTime,Morgan,Mmm? Who are you?,neutral
FE13Paralogues,P12-DisownedByTime,Chrom,"I would ask you the same. More importantly, why are you here? This is hardly a safe place to be wandering alone.",neutral
FE13Paralogues,P12-DisownedByTime,Morgan,"I... I don't know, frankly. I woke up...sprawled in a field. I can't recall anything before that.",negative
FE13Paralogues,P12-DisownedByTime,Chrom,That sounds familiar.,neutral
FE13Paralogues,P12-DisownedByTime,Morgan,"I... I think I remember my name? ...Morgan? Yes, that's it. My name is Morgan.",neutral
FE13Paralogues,P12-DisownedByTime,Chrom,"I'm Chrom. And finding amnesiacs is apparently my special talent. I met a good friend, Robin, under the same circumstances.",neutral
FE13Paralogues,P12-DisownedByTime,Morgan,Robin?! Is this friend of yours perchance a tactician?,neutral
FE13Paralogues,P12-DisownedByTime,Chrom,She is. Do you know her?,neutral
FE13Paralogues,P12-DisownedByTime,Morgan,"Yes, I know her! She's my mother! ...Wait a second. You found my mother lying here unconscious?",negative
FE13Paralogues,P12-DisownedByTime,Chrom,"Well, not HERE. But yes, we found her lying in a field, memory-free. This was quite a while ago, mind you. So if you're her son, I take it you came from the future?",neutral
FE13Paralogues,P12-DisownedByTime,Morgan,"...From the future? Are you kidding, sir?! People can't travel through time! If that were possible, I— Ngh! M-my head!",negative
FE13Paralogues,P12-DisownedByTime,Chrom,"Woah, easy there. Try to stay calm. Listen, why don't you just come with us for now? You can speak to Robin later and maybe clear this up.",neutral
FE13Paralogues,P12-DisownedByTime,Morgan,"Th-thank you, sir... And don't worry—I can defend myself. You just lead the way.",positive
FE13Paralogues,P12-DisownedByTime,Morgan,Mmm? Who are you?,neutral
FE13Paralogues,P12-DisownedByTime,Chrom,"I would ask you the same. More importantly, why are you here? This is hardly a safe place to be wandering alone.",neutral
FE13Paralogues,P12-DisownedByTime,Morgan,"I... I don't know, frankly. I woke up...sprawled in a field. I can't recall anything before that.",negative
FE13Paralogues,P12-DisownedByTime,Chrom,This sounds familiar.,neutral
FE13Paralogues,P12-DisownedByTime,Morgan,"I... I think I remember my name? ...Morgan? Yes, that's it. My name is Morgan.",neutral
FE13Paralogues,P12-DisownedByTime,Chrom,I'm Chrom. And finding amnesiacs is apparently my special talent. I met someone very dear to me in the same way. Her name is Robin.,neutral
FE13Paralogues,P12-DisownedByTime,Morgan,Robin?! Is this friend of yours perchance a tactician?,neutral
FE13Paralogues,P12-DisownedByTime,Chrom,She is. Do you know her?,neutral
FE13Paralogues,P12-DisownedByTime,Morgan,"Yes, I know her! She's my mother!",positive
FE13Paralogues,P12-DisownedByTime,Chrom,"Mother?! Then you're our... You're my... Morgan, stay calm and listen to me. Robin is my wife. Which means you're likely my son who came here from the future.",negative
FE13Paralogues,P12-DisownedByTime,Morgan,"...What?! But I... The future?! Is... Is that why I have no memory? But wait, I remember my mother. So why don't I remember you?",neutral
FE13Paralogues,P12-DisownedByTime,Chrom,I don't know. Do you recall a sister named Lucina?,neutral
FE13Paralogues,P12-DisownedByTime,Morgan,"No, nothing like that.",negative
