game,chapter,speaker,text,tag
FE3BookOne,02-ThePiratesOfGalder,Ogma,"Prince Marth, I'm Ogma, a mercenary of Talys. The king ordered me to join your forces. I brought along my three most trusted men. Welcome to Galder, the port town that's been overrun by pirates. Pirates aren't all you will have to worry about. We've spotted soldiers from Grust too. Keep your wits about you.",negative
FE3BookOne,02-ThePiratesOfGalder,Woman,There's a pirate who goes by the name of Darros. He's looking to meet the prince! Word is he wants to turn over a new leaf and fight for the people. You should seek him out and listen to what he has to say.,neutral
FE3BookOne,02-ThePiratesOfGalder,Woman,A curate can earn EXP simply by withstanding the attacks of a foe.,neutral
FE3BookOne,02-ThePiratesOfGalder,Man,Hammers are effective against knights. It would be wise to purchase one!,neutral
FE3BookOne,02-ThePiratesOfGalder,Villager,"Prince of Altea, I beg of you... Save the cleric Lena. We tried to stop her, but... she left the safety of the village to bring aid to the poor and sick. She set out toward the Ghoul's Teeth some time ago and has yet to return. I can't tell you how much Lena's help meant to us. She's like an angel. It isn't much, but...we can offer you 5,000G to aid in your efforts to rescue her. Please, do what you can to save her!",negative
FE3BookOne,02-ThePiratesOfGalder,Castor,"Please forgive me, Princess Caeda! I have no choice. I must get my hands on some money...",negative
FE3BookOne,02-ThePiratesOfGalder,Caeda,You are Castor of Talys! Why are you fighting us?,neutral
FE3BookOne,02-ThePiratesOfGalder,Castor,"Princess Caeda... I am sorry. My mother is ill. To afford her medicine, I would do anything. Even this!",negative
FE3BookOne,02-ThePiratesOfGalder,Caeda,"I see... The pirates pay you. Well, it it may not be much, but I offer you what I can. Take it, and buy medicine for your mother.",neutral
FE3BookOne,02-ThePiratesOfGalder,Castor,"You would aid a traitor like me? You are so kind... Oh, Princess Caeda! Forgive me! From now on, I will dedicate my life to you.",negative
FE3BookOne,02-ThePiratesOfGalder,Gomer,"The gall of ye, defyin' me crew! I'll put an axe square between yer eyes! Ye ain't leaving here alive. I swear it on the rickety peg leg o'Shanty Pete!",negative
FE3BookOne,02-ThePiratesOfGalder,Gomer,"Augh... Fiends, ye be...",negative
FE3BookOne,02-ThePiratesOfGalder,Villager,"Thank you for taking care of those ruffians, Prince Marth. Thanks to you, peace has returned to Galder. In order to reach Aurelis, you must cross the Ghoul's Teeth. It is a dangerous road. You will find fearsome bandits called the Soothsires there. They prey on travelers and raid nearby villages. I have heard of a skilled swordsman called Navarre in their employ. Whatever you do, do not let your guard down. I will pray for your safety.",positive
FE3BookOne,01-MarthEmbarks,Jagen,Prince Marth! Princess Caeda has alighted from Talys Castle.,positive
FE3BookOne,01-MarthEmbarks,Marth,"Caeda, what's wrong? Did something happen?",negative
FE3BookOne,01-MarthEmbarks,Caeda,"Prince Marth! What a relief. Talys Castle is under attack from pirates of Galder! After a fierce fight, they have taken the castle. I beg you, please save my father!",negative
FE3BookOne,01-MarthEmbarks,Marth,"Don't worry, Caeda. The brave knights of Altea stand ready. Pirates are no match for us! Let's head back to the castle and rescue the king!",negative
FE3BookOne,01-MarthEmbarks,Old Man,"Villagers have their gates open so that the prince can visit. Don't make them wait! Once a thief attacks a village, that's it. There's no saving it.",negative
FE3BookOne,01-MarthEmbarks,Young Man,You can't use strong weapons if you don't have a high enough weapon level. That's just common sense. And don't forget that your fliers need to be careful around foes with bows!,negative
FE3BookOne,01-MarthEmbarks,Woman,There is a village south of the castle. A priest named Wrys awaits the prince there.,neutral
FE3BookOne,01-MarthEmbarks,Man,Galder? It's a port town south of the isle of Talys. A man by the name of Gomer has taken control of the city. It's lousy with pirate scum!,negative
FE3BookOne,01-MarthEmbarks,Woman,"If you are injured, stop at a fortress. You'll feel better after a short rest behind strong walls.",neutral
FE3BookOne,01-MarthEmbarks,Villager,"It is good that you have come, Prince Marth. I have here 10,000G that the villagers gathered. Take it. Please, use it to equip yourselves. Save this land from these rampaging pirates of Galder!",positive
FE3BookOne,01-MarthEmbarks,Gazzak,"The might of Altea, ye say, now? Har! Ye sprogs look t’be a mite short o’mighty t’me.",negative
FE3BookOne,01-MarthEmbarks,Gazzak,"Rrgh... Ye'll pay, dog...",negative
FE3BookOne,01-MarthEmbarks,King Of Talys,"Prince Marth! You have done well to make it here safely. You have my thanks. So, you plan to travel to Aurelis? In that case, though they are few in number, my soldiers will join you. From Captain Ogma down, they are all brave warriors and should serve you well. That is not all. Heed me now. As you travel through these lands, you may find many who cannot tolerate the tyranny of Dolhr. Some are hiding in villages. Others have been taken prisoner. And some must work with the enemy... You must seek these people out and work together! Heed the call! The time has come! Set foot on your path, but be vigilant! You face many dangers.",negative
FE3BookOne,18-DarkPontifex,Gharnef,"So you've finally arrived, young prince... I have been waiting for you! Yes, I have waited...and I am ready to strike! Once you are dead...this world is mine! Hee hee hee! And I need not fear Medeus at all! With Falchion and Imhullu in my grasp, none can oppose me! Not even that dragon! You have journeyed far to meet me in combat... But can you find the real me? If you cannot... Falchion will never be yours!",positive
FE3BookOne,18-DarkPontifex,Gharnef,"You must not value your life very much… I will show you the true terror of the darkest of magic, Imhullu!",negative
FE3BookOne,18-DarkPontifex,Gharnef,"Gah! Starlight... Too powerful... I am undone! Know this, young prince... You may have the strength to best me... But Medeus? Ha! I will await you in hell!",negative
FE3BookOne,18-DarkPontifex,Elice,"Oh, Marth! I have missed you so. Look at how you've grown. Father would be so proud!",positive
FE3BookOne,18-DarkPontifex,Marth,"Elice! I am glad to see you safe! After I heard that Gharnef had taken you, I was so worried...",positive
FE3BookOne,18-DarkPontifex,Elice,"Gharnef kidnapped me to secure the spell of revival, Aum, that Gotoh gave me. There is a temple in southern Dolhr where this staff can be used to revive an ally... If there is one precious to you who has lost their life, let's travel to Dolhr and revive them. Let's go! To Dolhr!",negative
FE3BookOne,15-ManaketePrincess,Malledus,"Your highness, please be careful inside the Fane of Raman. The goddess of this temple possesses fearful might. She will incinerate any and all intruders.",negative
FE3BookOne,15-ManaketePrincess,Marth,Hmm… I suppose we shouldn’t be intruding this sanctuary… But this temple holds the objects that I must seek. We must try not to provoke the temple’s guardians. I will only bring in a couple of soldiers with me.,neutral
FE3BookOne,15-ManaketePrincess,Gharnef,Tiki... princess of the long-departed Naga clan... Incinerate all those who would disgrace the Fane of Raman! Don't forget that I saved you from Medeus after Bantu abandoned you!,negative
FE3BookOne,15-ManaketePrincess,Tiki,N-no... Don't... Don't come near me!,negative
FE3BookOne,15-ManaketePrincess,Bantu,Tiki! I've been looking everywhere! It seems Gharnef is controlling you... Now...wake up!,negative
FE3BookOne,15-ManaketePrincess,Tiki,I... I... What... What happened? Where am I?,neutral
FE3BookOne,15-ManaketePrincess,Bantu,"Back to your senses, are you? Good! How do you feel?",positive
FE3BookOne,15-ManaketePrincess,Tiki,It was so scary... A terrible nightmare... that wouldn't end!,negative
FE3BookOne,15-ManaketePrincess,Bantu,"Oh, Tiki! I am so sorry. It's all my fault this happened! But you're all right now. I won't leave you again... I promise.",negative
FE3BookOne,15-ManaketePrincess,Tiki,"Yes, please promise! Don't leave me alone ever again! Promise me that you won't...",negative
FE3BookOne,15-ManaketePrincess,Tiki,N-no! Please! Come no closer!,negative
FE3BookOne,15-ManaketePrincess,Tiki,Ban-Ban... Wh-why did you leave me?,negative
