game,chapter,speaker,text,tag
FE16SilverSnow,21-FollowingADream,Rhea,Ugh…,negative
FE16SilverSnow,21-FollowingADream,Cyril,"Hang in there, Lady Rhea",neutral
FE16SilverSnow,21-FollowingADream,Seteth,She needs help! Hurry!,negative
FE16SilverSnow,21-FollowingADream,Manuela,"That's a serious injury… It's a miracle that she's even alive right now. I'll do what I can, but…",negative
FE16SilverSnow,21-FollowingADream,Seteth,"Five years ago, when this place fell an enormous white creature appeared on the battlefield. It was the Immaculate One... Rhea.",negative
FE16SilverSnow,21-FollowingADream,Byleth,She tried to save me…,negative
FE16SilverSnow,21-FollowingADream,Seteth,What? You already knew Rhea's true identity?,neutral
FE16SilverSnow,21-FollowingADream,Byleth,"Thinking back, I suppose so.",neutral
FE16SilverSnow,21-FollowingADream,Seteth,"I see. In the past the children of the goddess were all able to change their appearance, just like the Immaculate One. I lost that power long ago, but it seems Rhea has not.",neutral
FE16SilverSnow,21-FollowingADream,Byleth,You're one of the children of the goddess?,neutral
FE16SilverSnow,21-FollowingADream,Seteth,"Is it not obvious? Flayn and I both are. We have protected Garreg Mach, and all of Fódlan, for a very long time. But now... the light of Rhea's life is on the verge of disappearing from this world. It is flickering... I do not know if she can be saved. Even if she is, I wonder if she will remain unchanged...",neutral
FE16SilverSnow,21-FollowingADream,Flayn,Professor. Are you able to carry on Rhea's work. As the protector of Fódlan and as leader of the people who live here... You must defend the people. Guide them and teach them. Join their hearts and spread peace across the whole of the land.,neutral
FE16SilverSnow,21-FollowingADream,Seteth,It is not as though you must become the archbishop. But Fódlan needs leadership it is up to you to govern this war-torn land.,neutral
FE16SilverSnow,21-FollowingADream,Byleth,I...,neutral
FE16SilverSnow,21-FollowingADream,Seteth,You need not reply right this moment. We will strive to heal Rhea as best we can.,neutral
FE16SilverSnow,21-FollowingADream,Flayn,Perhaps it would help to seek counsel from our friends at the monastery about this matter.,neutral
FE16SilverSnow,21-FollowingADream,Seteth,"I agree. When your mind is made up, please speak with me. I would ask that you give me your decision in the presence of Rhea herself.",positive
FE16SilverSnow,21-FollowingADream,Ferdinand,"Well done, Professor. We have brought the war to a magnificent conclusion. The Empire, Alliance, and Kingdom are no more. Nor are there any factions that could blindside us and cause conflict. Now it falls to us to rule Fódlan, and bring about an era of peace and prosperity. You would be a fine choice for the first ruler of this new era. I sincerely believe that.",positive
FE16SilverSnow,21-FollowingADream,Byleth,Thank you.,positive
FE16SilverSnow,21-FollowingADream,Ferdinand,"So, your heart is already set on it! Excellent! In that case, congratulations are in order.",positive
FE16SilverSnow,21-FollowingADream,Byleth,I'm not sure.,neutral
FE16SilverSnow,21-FollowingADream,Ferdinand,"Well, if you are unsure, what does that say about everybody else's chances?",neutral
FE16SilverSnow,21-FollowingADream,Ferdinand,"I will follow you, Professor. I aim to be a great and respectable noble.",positive
FE16SilverSnow,21-FollowingADream,Linhardt,"Congratulations on a job well done, Professor. I do hope Lady Rhea is well? Is it true what I heard? You will be taking over her post? Would that make you archbishop? Or higher still? Am I in the company of the future ruler of Fódlan?",positive
FE16SilverSnow,21-FollowingADream,Byleth,Either would be a hassle.,neutral
FE16SilverSnow,21-FollowingADream,Linhardt,"I agree! Imagine all that responsibility. Until now, you've always fought with all of us by your side. Bring ruler would be a much lonelier job, though I am certain you would excel.",positive
FE16SilverSnow,21-FollowingADream,Byleth,The latter. I will rule over Fódlan.,neutral
FE16SilverSnow,21-FollowingADream,Linhardt,So you've already decided... Such proactive thinking is the hallmark of a good ruler.,neutral
FE16SilverSnow,21-FollowingADream,Linhardt,Me? I have no interest in a leadership role. I'm happy to spend the rest of my days studying...and napping.,negative
FE16SilverSnow,21-FollowingADream,Caspar,"All... RIGHT! We did it, Professor! We really gave it to 'em out there! With all the fighting and hardships, I don't know how we did it... But I'm glad we made it through together!",positive
FE16SilverSnow,21-FollowingADream,Byleth,Me too.,positive
FE16SilverSnow,21-FollowingADream,Caspar,Now all we gotta do is make you the new ruler! That's gonna be a fun coronation!,positive
FE16SilverSnow,21-FollowingADream,Byleth,It was a lot to push through.,neutral
FE16SilverSnow,21-FollowingADream,Caspar,"Sorry if I made your life more difficult! None of that matters anymore though, right? Now all we gotta do is make you the new ruler! That's gonna be a fun coronation!",negative
FE16SilverSnow,21-FollowingADream,Bernadetta,"Phew... It's all over, Professor. Though I am worried about Lady Rhea... But still, Fódlan is united, and those terrible people lurking in the dark have finally been destroyed. Looks like it's the dawn of a wonderful new era...of blissful seclusion for Bernie!",negative
FE16SilverSnow,21-FollowingADream,Byleth,That won't do.,negative
FE16SilverSnow,21-FollowingADream,Bernadetta,"Wh-what? Why not?! Hey, that better not be your first official decree! You're going to ask for my help again, aren't you? Oh, why?",negative
FE16SilverSnow,21-FollowingADream,Byleth,Suit yourself.,neutral
FE16SilverSnow,21-FollowingADream,Bernadetta,"Woo-hoo! You finally did it, Bernie! Now take your reward of eternal peace and quiet!",positive
FE16SilverSnow,21-FollowingADream,Dorothea,"Finally! An end to the fighting. Have you ever felt happier? I've worried that I might not live to see this day, but here we are, and everything is going to be OK, isn't it? Huh, my heart feels like it's ready to burst. I'm so full of happiness, yet I feel a sense of loss too...",positive
FE16SilverSnow,21-FollowingADream,Byleth,We did lose a lot.,negative
FE16SilverSnow,21-FollowingADream,Dorothea,"Yes, we certainly did. But we managed to keep a great many things safe, as well.",positive
FE16SilverSnow,21-FollowingADream,Byleth,We protected more than we lost.,negative
FE16SilverSnow,21-FollowingADream,Dorothea,I agree. I suppose if I think of those who are gone as the people who ensured our freedom...it hurts less.,negative
FE16SilverSnow,21-FollowingADream,Dorothea,"Please do what you can to keep the peace, so we never have to face such awful times again.",negative
FE16SilverSnow,21-FollowingADream,Petra,"War has been ended. I will now be returning to Brigid. I hope in the new Fódlan, Brigid can be accepted with friendship. When my professor becomes the leader, I think that will have a possibility. Please, choose well.",positive
FE16SilverSnow,21-FollowingADream,Byleth,Same to you.,neutral
FE16SilverSnow,21-FollowingADream,Petra,Yes. Now I must be packing.,neutral
FE16SilverSnow,21-FollowingADream,Byleth,I'm not sure yet...,neutral
FE16SilverSnow,21-FollowingADream,Petra,Is that the truth? I will be waiting for your decision. I will be packing while you are thinking.,neutral
FE16SilverSnow,21-FollowingADream,Felix,It's over. What will you do? I heard you intend to lead.,neutral
FE16SilverSnow,21-FollowingADream,Byleth,I'm not sure.,neutral
