word,occurrence
0,0.0002281348808901
1,0.0018611320038326
10,0.0004439889616332
100,0.0001677145439316
1000,2.484677363099763e-05
10000,1.1545249526534463e-06
100000,3.748342390963444e-07
10000g,1.4736067596721191e-09
10th,8.659346967760939e-06
11,0.0002150097640696
1159,5.325447011728102e-07
1174,5.061262453409654e-07
1181,5.948101298258734e-07
1185,5.655808817550679e-07
12,0.0002783005445962
12th,7.0301772939274085e-06
14,0.0001944462410756
1400,3.5647951585815463e-06
15,0.000255370644445
15000,3.310626115649029e-07
15000g,6.904997928991463e-10
18,0.0001752408694301
19,0.000150197292969
2,0.0012124551343731
20,0.0002687214859179
200,6.753188426955603e-05
2000,9.929364896379412e-05
20000,4.528398395109434e-07
21,0.0001457253325497
220,1.481677099945955e-05
23,0.000128053263179
24,0.0001512407357222
26th,3.0619396920883445e-06
2nd,2.70376024855068e-05
3,0.0008865448879078
30,0.0002328576956642
30000,2.79711644282088e-07
37th,5.650207071994373e-07
3rd,1.6856713136803593e-05
4,0.0006676166941178
40,0.0001224869157886
400,3.42476177138451e-05
4000,4.264250492269639e-06
445,4.283856451365864e-06
5,0.0006050142447929
50,0.0001611382175178
500,5.225618071563076e-05
5000,5.32103872501466e-06
50000,3.0789915371087774e-07
5000g,4.272507725389118e-09
590,2.91483904220513e-06
600,2.4162704467016738e-05
6000,2.978737013563659e-06
624,2.3117918703974283e-06
626,2.2764631057725635e-06
640,3.4044343851746816e-06
7,0.000364917035331
72,3.9615580608369786e-05
757,1.918354467989048e-06
75th,7.798192024210948e-07
760,2.716961161013387e-06
776,1.6312305911014846e-06
777,2.0073727523595154e-06
780,2.512555234943648e-06
7th,1.104961942473892e-05
8,0.0003585585908149
800,2.539145149967226e-05
8000,2.204395213993848e-06
803,2.846012462214276e-06
8th,9.323245203631812e-06
9,0.0002812840463593
94,2.9344608265091665e-05
980,3.2799398570659832e-06
995,2.800213729869938e-06
9980,3.847214530061649e-08
a,0.013793612383306
aa,2.3594028277784677e-06
aaa,1.5353985176602692e-07
aaaaaa,3.3044411162919117e-09
aaaaaaaa,1.775827076500036e-09
aaaaaaaaaa,8.761749839547582e-10
aaaaaaaaall,0.0
aaaaaaaagghh,0.0
aaaaaaaahhh,0.0
aaaaaaaargh,0.0
aaaaaaaarrrr,0.0
aaaaaaah,4.985208220537052e-10
aaaaaaahhh,3.832255839053556e-11
aaaaaaarrrrggggghhh,0.0
aaaaaaaugh,0.0
aaaaaah,8.093851305845943e-10
aaaaaahhh,9.18684749107168e-11
aaaaaall,9.530757183462412e-11
aaaaaargh,6.181339912147977e-11
aaaaaarghhhh,0.0
aaaaaarrrr,0.0
aaaaaavel,0.0
aaaaah,1.8414707278480158e-09
aaaaahhh,1.7841683845609688e-10
aaaaahhhh,1.8567112805567556e-10
aaaaall,2.8393295388451365e-10
aaaaalm,0.0
aaaaand,3.5136979749383903e-10
aaaaare,1.1687634950130476e-10
aaaaargh,1.7085572144581726e-10
aaaagh,3.312331998267526e-10
aaaah,3.947703639539668e-09
aaaaiiieee,0.0
aaaaiiieeeeee,0.0
aaaaiiiieeeeee,0.0
aaaand,6.171528035836538e-10
aaaanngghh,0.0
aaaargg,0.0
aaaargh,3.7496405050352336e-10
aaaaughhh,0.0
aaages,6.267797010572895e-11
aaagh,7.316069366991583e-10
aaah,1.1383191642622135e-08
aaahh,1.14965732905814e-09
aaahhh,1.8514721256135398e-09
aaahhhh,6.254330602722956e-10
aaaiiieeee,0.0
aaaiiieeeeee,0.0
