	FE1	FE2	FE3	FE4	FE5	FE6	FE7	FE8	FE9	FE10	FE11	FE12	FE13	FE14	FE15	FE16
FE1	1	0.271407837	0.41426097	0.193353994	0.208467818	0.244439129	0.202407957	0.221596622	0.16917458	0.163385288	0.335530086	0.246008169	0.19760586	0.173204587	0.216061563	0.140276539
FE2	0.271407837	1	0.207820618	0.144251242	0.154888104	0.193075562	0.145282345	0.164238135	0.124887825	0.119369683	0.200172315	0.155015761	0.145672192	0.128054439	0.182802415	0.099153976
FE3	0.41426097	0.207820618	1	0.31861485	0.329312031	0.346687211	0.321357893	0.342666894	0.29489553	0.294206359	0.432378414	0.558489182	0.310696095	0.300829593	0.318302387	0.271159543
FE4	0.193353994	0.144251242	0.31861485	1	0.379655966	0.323555295	0.352354501	0.350068213	0.340589569	0.360927152	0.290038023	0.359669507	0.345607979	0.349901059	0.345915341	0.340362595
FE5	0.208467818	0.154888104	0.329312031	0.379655966	1	0.34339263	0.3528	0.343993086	0.346489654	0.347382889	0.304763475	0.359618008	0.351153324	0.347215437	0.349283668	0.331193838
FE6	0.244439129	0.193075562	0.346687211	0.323555295	0.34339263	1	0.360799758	0.352317881	0.323197903	0.319313091	0.314007782	0.347619777	0.320919057	0.323809524	0.323501122	0.294012605
FE7	0.202407957	0.145282345	0.321357893	0.352354501	0.3528	0.360799758	1	0.394059406	0.393237172	0.373951928	0.29538131	0.369891631	0.358559026	0.374360804	0.353846154	0.364672642
FE8	0.221596622	0.164238135	0.342666894	0.350068213	0.343993086	0.352317881	0.394059406	1	0.368775739	0.367906533	0.311210454	0.365509455	0.348396095	0.359964548	0.35732342	0.336609586
FE9	0.16917458	0.124887825	0.29489553	0.340589569	0.346489654	0.323197903	0.393237172	0.368775739	1	0.415205913	0.267613109	0.351187704	0.355781597	0.379013824	0.344684991	0.380856699
FE10	0.163385288	0.119369683	0.294206359	0.360927152	0.347382889	0.319313091	0.373951928	0.367906533	0.415205913	1	0.265886498	0.359604805	0.355662597	0.387718559	0.342545286	0.408165105
FE11	0.335530086	0.200172315	0.432378414	0.290038023	0.304763475	0.314007782	0.29538131	0.311210454	0.267613109	0.265886498	1	0.602404965	0.300866824	0.277496233	0.305466238	0.234098292
FE12	0.246008169	0.155015761	0.558489182	0.359669507	0.359618008	0.347619777	0.369891631	0.365509455	0.351187704	0.359604805	0.602404965	1	0.356146354	0.36251497	0.350110619	0.347529481
FE13	0.19760586	0.145672192	0.310696095	0.345607979	0.351153324	0.320919057	0.358559026	0.348396095	0.355781597	0.355662597	0.300866824	0.356146354	1	0.363189448	0.361999162	0.337495161
FE14	0.173204587	0.128054439	0.300829593	0.349901059	0.347215437	0.323809524	0.374360804	0.359964548	0.379013824	0.387718559	0.277496233	0.36251497	0.363189448	1	0.343048493	0.39008681
FE15	0.216061563	0.182802415	0.318302387	0.345915341	0.349283668	0.323501122	0.353846154	0.35732342	0.344684991	0.342545286	0.305466238	0.350110619	0.361999162	0.343048493	1	0.319062283
FE16	0.140276539	0.099153976	0.271159543	0.340362595	0.331193838	0.294012605	0.364672642	0.336609586	0.380856699	0.408165105	0.234098292	0.347529481	0.337495161	0.39008681	0.319062283	1
